timestamp,a_right_backPose,b_right_backPose,c_right_backPose, ASSEMBLY2_BIMANUAL
1.645023061938806e+18,-6960.0,2245.0,-4391.0,1
1.6450230619887247e+18,-6986.0,2104.0,-4276.0,1
1.6450230620390582e+18,-7378.0,1936.0,-4258.0,1
1.6450230620917947e+18,-7555.0,1978.0,-4202.0,1
1.6450230621393574e+18,-7441.0,2057.0,-4185.0,1
1.645023062188032e+18,-7292.0,2046.0,-4019.0,1
1.645023062241116e+18,-6833.0,2172.0,-3698.0,1
1.6450230622868664e+18,-6032.0,1700.0,-3712.0,1
1.6450230623410993e+18,-5842.0,1905.0,-3979.0,1
1.6450230623912776e+18,-6974.0,1144.0,-4156.0,1
1.6450230624410967e+18,-7582.0,584.0,-2495.0,1
1.6450230624942659e+18,-7683.0,209.0,-2704.0,1
1.6450230625427622e+18,-7410.0,272.0,-3019.0,1
1.6450230625871252e+18,-6884.0,-85.0,-3430.0,1
1.6450230626420114e+18,-7256.0,234.0,-3155.0,1
1.6450230626912343e+18,-7925.0,356.0,-2579.0,1
1.6450230627417416e+18,-7961.0,1020.0,-2435.0,1
1.645023062792807e+18,-7850.0,1499.0,-2928.0,1
1.6450230628412283e+18,-7257.0,1833.0,-3437.0,1
1.6450230628925105e+18,-6729.0,2274.0,-3882.0,1
1.64502306294179e+18,-6598.0,2629.0,-4094.0,1
1.6450230629910863e+18,-6745.0,2510.0,-4797.0,1
1.6450230630419512e+18,-6709.0,2286.0,-5104.0,1
1.6450230630910717e+18,-6763.0,2162.0,-4971.0,1
1.6450230631417183e+18,-6810.0,2196.0,-4750.0,1
1.6450230631918223e+18,-6903.0,2212.0,-4876.0,1
1.6450230632419315e+18,-6870.0,2078.0,-4484.0,1
1.6450230632914555e+18,-7080.0,2147.0,-4288.0,1
1.6450230633428175e+18,-6775.0,2153.0,-4232.0,1
1.6450230633923715e+18,-6837.0,1968.0,-4229.0,1
1.645023063440396e+18,-6783.0,1996.0,-4217.0,1
1.6450230634960712e+18,-6869.0,2197.0,-4702.0,1
1.6450230635417615e+18,-6751.0,2131.0,-4729.0,1
1.645023063591126e+18,-6315.0,2047.0,-4899.0,1
1.645023063638982e+18,-6212.0,1970.0,-4582.0,1
1.645023063691049e+18,-6548.0,2058.0,-4533.0,1
1.6450230637427039e+18,-6925.0,2146.0,-4285.0,1
1.6450230637920535e+18,-6956.0,1910.0,-4139.0,1
1.6450230638427843e+18,-6547.0,2211.0,-4911.0,1
1.645023063892233e+18,-6567.0,2046.0,-5413.0,1
1.6450230639387976e+18,-5997.0,1977.0,-5200.0,1
1.6450230639941345e+18,-5845.0,1746.0,-4963.0,1
1.6450230640388306e+18,-4687.0,2329.0,-5970.0,1
