timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, PICKUP_LEFT
1.6461471510836178e+18,1330.0,3921.0,4499.0,1
1.6461471511374167e+18,987.0,3197.0,4388.0,1
1.6461471511831757e+18,915.0,4333.0,1295.0,1
1.6461471512376655e+18,448.0,7545.0,-3285.0,1
1.6461471512836493e+18,-566.0,9138.0,-6363.0,1
1.646147151337966e+18,-2222.0,11213.0,-6399.0,1
1.6461471513834762e+18,-1506.0,8273.0,-4237.0,1
1.646147151438693e+18,-1257.0,6494.0,-3296.0,1
1.6461471514807345e+18,-1612.0,7202.0,-3304.0,1
1.6461471515324157e+18,-2045.0,7856.0,-3452.0,1
1.6461471515875287e+18,-3047.0,7896.0,-3332.0,1
1.6461471516336614e+18,-3698.0,6759.0,-1994.0,1
1.6461471516889725e+18,-3668.0,8089.0,-3286.0,1
1.6461471517381783e+18,-3004.0,7992.0,-4396.0,1
1.6461471517893847e+18,-2521.0,7725.0,-4501.0,1
1.6461471518347876e+18,-2764.0,7379.0,-3698.0,1
1.6461471518906337e+18,-2762.0,7128.0,-3721.0,1
1.6461471519354893e+18,-2723.0,6916.0,-3787.0,1
1.6461471519876209e+18,-2412.0,6741.0,-3891.0,1
1.6461471520345277e+18,-2407.0,6969.0,-4041.0,1
