timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose,File Name
1.6466624384114324e+18,-6185.0,1780.0,5017.0,frame_8915.jpeg
1.6466624384656323e+18,-6043.0,653.0,5569.0,frame_8916.jpeg
1.64666243851264e+18,-5763.0,387.0,4865.0,frame_8917.jpeg
1.6466624385662323e+18,-6318.0,-303.0,4614.0,frame_8918.jpeg
1.6466624386100214e+18,-6639.0,-671.0,5328.0,frame_8919.jpeg
1.6466624386654044e+18,-5999.0,486.0,5435.0,frame_8920.jpeg
1.6466624387139433e+18,-5331.0,829.0,4127.0,frame_8921.jpeg
1.6466624387656164e+18,-5362.0,3355.0,2511.0,frame_8922.jpeg
1.6466624388119183e+18,-5842.0,3096.0,3641.0,frame_8923.jpeg
1.6466624388667443e+18,-6234.0,3234.0,4548.0,frame_8924.jpeg
1.6466624389112005e+18,-6331.0,3398.0,4882.0,frame_8925.jpeg
1.6466624389670548e+18,-6100.0,3380.0,4461.0,frame_8926.jpeg
1.6466624390102966e+18,-5955.0,3011.0,4312.0,frame_8927.jpeg
1.6466624390657567e+18,-6046.0,2270.0,4413.0,frame_8928.jpeg
1.646662439111876e+18,-6247.0,3552.0,3927.0,frame_8929.jpeg
1.646662439167165e+18,-6128.0,3295.0,3786.0,frame_8930.jpeg
1.6466624392101033e+18,-6182.0,3370.0,3501.0,frame_8931.jpeg
1.646662439265869e+18,-6262.0,1865.0,4109.0,frame_8932.jpeg
1.6466624393107802e+18,-6342.0,2504.0,4245.0,frame_8933.jpeg
1.6466624393662764e+18,-6589.0,3281.0,5299.0,frame_8934.jpeg
1.6466624394110034e+18,-7445.0,3248.0,5790.0,frame_8935.jpeg
1.6466624394629706e+18,-8266.0,2354.0,5755.0,frame_8936.jpeg
1.6466624395119086e+18,-8733.0,1324.0,5447.0,frame_8937.jpeg
1.646662439567324e+18,-8286.0,3000.0,4727.0,frame_8938.jpeg
1.6466619966047363e+18,-5308.0,5472.0,2425.0,frame_90.jpeg
1.6466624456205432e+18,-5067.0,6712.0,-1229.0,frame_9059.jpeg
