timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, ASSEMBLY1_BIMANUAL
1.645022963216205e+18,2658.0,-5630.0,-5586.0,1
1.6450229632664225e+18,2667.0,-5903.0,-4676.0,1
1.645022963315338e+18,2543.0,-5872.0,-4488.0,1
1.6450229633686546e+18,2280.0,-6116.0,-4205.0,1
1.6450229634160786e+18,2211.0,-6223.0,-4162.0,1
1.6450229634627525e+18,2140.0,-6512.0,-3622.0,1
1.6450229635137193e+18,2246.0,-6585.0,-3751.0,1
1.6450229635640274e+18,2239.0,-6714.0,-3444.0,1
1.6450229636207677e+18,2237.0,-7081.0,-3747.0,1
1.6450229636652426e+18,2140.0,-6901.0,-3963.0,1
1.6450229637150292e+18,1941.0,-6786.0,-3355.0,1
1.6450229637655962e+18,1840.0,-6732.0,-3272.0,1
1.645022963816011e+18,1737.0,-6773.0,-3334.0,1
1.6450229638653373e+18,1877.0,-6769.0,-3644.0,1
1.6450229639172946e+18,1798.0,-7175.0,-3450.0,1
1.6450229639653724e+18,1696.0,-7286.0,-3814.0,1
1.6450229640177556e+18,1764.0,-6954.0,-3937.0,1
1.6450229640650895e+18,1852.0,-7006.0,-3806.0,1
1.645022964113753e+18,1829.0,-6961.0,-3299.0,1
1.6450229641660186e+18,1811.0,-7171.0,-2764.0,1
1.6450229642192095e+18,1528.0,-7273.0,-1921.0,1
1.6450229642624745e+18,1783.0,-7265.0,-2527.0,1
1.64502296432025e+18,1872.0,-7338.0,-2313.0,1
1.6450229643455562e+18,1916.0,-7579.0,-2138.0,1
1.6450229644274063e+18,1921.0,-7649.0,-2065.0,1
1.645022964464254e+18,1636.0,-7139.0,-703.0,1
1.645022964517138e+18,569.0,-7685.0,19.0,1
1.6450229645690765e+18,461.0,-8371.0,-318.0,1
1.6450229646151552e+18,646.0,-8388.0,-1047.0,1
1.6450229646713065e+18,528.0,-7978.0,-1507.0,1
1.6450229647177303e+18,798.0,-7938.0,-2504.0,1
1.645022964768641e+18,636.0,-7633.0,-1936.0,1
1.6450229648250895e+18,423.0,-8013.0,-1321.0,1
1.64502296486882e+18,169.0,-8302.0,-1029.0,1
1.6450229649154778e+18,93.0,-8510.0,-937.0,1
1.6450229649665454e+18,1.0,-8366.0,-811.0,1
1.6450229650150922e+18,46.0,-8286.0,-901.0,1
1.6450229650711854e+18,30.0,-7713.0,-985.0,1
1.6450229651208148e+18,-86.0,-7479.0,-836.0,1
1.6450229651707791e+18,-282.0,-7495.0,-706.0,1
1.6450229652193618e+18,-483.0,-7469.0,-1154.0,1
1.6450229652712748e+18,-847.0,-7641.0,-1443.0,1
1.6450229653089613e+18,-825.0,-7461.0,-1634.0,1
1.6450229653694236e+18,-791.0,-7436.0,-1570.0,1
1.6450229654191982e+18,-857.0,-7500.0,-1381.0,1
1.6450229654698424e+18,-1144.0,-7812.0,-1474.0,1
1.6450229655193206e+18,-1507.0,-8045.0,-759.0,1
1.6450229656152092e+18,-1563.0,-8054.0,-655.0,1
1.6450229656152092e+18,-1563.0,-8054.0,-655.0,1
1.6450229656666289e+18,-3448.0,-7402.0,2807.0,1
1.6450229657179446e+18,-3514.0,-8197.0,3161.0,1
1.645022965771023e+18,-3563.0,-7021.0,4137.0,1
1.6450229658157153e+18,-3537.0,-7485.0,4255.0,1
1.6450229658702559e+18,-3482.0,-5496.0,5158.0,1
1.645022965916406e+18,-3465.0,-3347.0,5899.0,1
1.645022987245476e+18,-327.0,-7706.0,3527.0,1
1.6450229872974912e+18,-459.0,-6875.0,4530.0,1
1.6450229873407378e+18,-453.0,-6298.0,5124.0,1
1.6450229873993167e+18,-534.0,-5662.0,5637.0,1
1.645022987446314e+18,-514.0,-4858.0,5904.0,1
1.645022987499393e+18,-431.0,-4722.0,6323.0,1
1.6450229875449646e+18,-237.0,-4143.0,6471.0,1
1.645022987597701e+18,19.0,-3491.0,6992.0,1
1.6450229876448742e+18,-595.0,-3473.0,7678.0,1
1.6450229876975593e+18,-1341.0,-4315.0,8120.0,1
1.6450229877452124e+18,-1435.0,-4309.0,8143.0,1
1.645022987796115e+18,-1180.0,-3791.0,7765.0,1
1.6450229878491533e+18,-1193.0,-3197.0,7604.0,1
1.6450229878970719e+18,-1279.0,-3168.0,7545.0,1
1.6450229879529638e+18,-1338.0,-3133.0,7650.0,1
1.6450229879963564e+18,-1319.0,-3147.0,7840.0,1
1.6450229880493414e+18,-1019.0,-2840.0,7552.0,1
1.6450229880968806e+18,-1170.0,-2767.0,7524.0,1
1.6450229881481009e+18,-1336.0,-2365.0,7539.0,1
1.645022988198709e+18,-1608.0,-2181.0,7201.0,1
1.645022988247466e+18,-2425.0,-2663.0,7299.0,1
1.6450229882989263e+18,-2933.0,-2867.0,7311.0,1
1.6450229883478643e+18,-3184.0,-2794.0,7513.0,1
1.6450229883996431e+18,-3274.0,-2550.0,7458.0,1
1.6450229884494006e+18,-3555.0,-2744.0,7731.0,1
1.6450229884953892e+18,-3773.0,-2671.0,7781.0,1
1.645022988550717e+18,-4456.0,-3194.0,8539.0,1
1.645022988595638e+18,-3924.0,-2941.0,8035.0,1
1.645022988650431e+18,-3723.0,-2995.0,7510.0,1
1.6450229886972457e+18,-3908.0,-3057.0,7642.0,1
1.6450229887517158e+18,-4098.0,-3411.0,8120.0,1
1.6450229887953946e+18,-4076.0,-3667.0,8282.0,1
1.6450229888484447e+18,-3625.0,-3745.0,8383.0,1
1.6450229888989885e+18,-2954.0,-3300.0,7705.0,1
1.6450229889500416e+18,-2649.0,-3013.0,7754.0,1
1.6450229889970596e+18,-2092.0,-4030.0,7206.0,1
1.645022989048726e+18,-1648.0,-3961.0,7413.0,1
1.6450229890974938e+18,-1025.0,-3033.0,6623.0,1
1.6450229891499302e+18,-974.0,-4216.0,6557.0,1
1.6450229891970122e+18,-692.0,-3803.0,6764.0,1
1.6450229892501204e+18,-776.0,-3333.0,6952.0,1
1.645022989296329e+18,-945.0,-3407.0,6881.0,1
1.6450229893511268e+18,-1283.0,-4358.0,8320.0,1
1.645022989397897e+18,-788.0,-3921.0,9218.0,1
1.6450229894512911e+18,-518.0,-2695.0,6017.0,1
1.6450229895017364e+18,-367.0,-5469.0,5106.0,1
1.645022989547131e+18,649.0,-6907.0,2376.0,1
1.6450229895983153e+18,1265.0,-8207.0,949.0,1
1.6450229896530386e+18,1635.0,-8095.0,-754.0,1
1.645022989700452e+18,1763.0,-8244.0,-1770.0,1
1.6450229897515436e+18,1626.0,-7504.0,-2716.0,1
1.6450229898018831e+18,1377.0,-7919.0,-2550.0,1
1.645022989851288e+18,1052.0,-7924.0,-2497.0,1
1.6450229899014175e+18,988.0,-7592.0,-2569.0,1
1.6450229899496724e+18,1146.0,-7459.0,-2720.0,1
1.6450229900017375e+18,1281.0,-7462.0,-2833.0,1
1.6450229900497917e+18,1317.0,-7391.0,-2432.0,1
1.6450229901018783e+18,1354.0,-7214.0,-1860.0,1
1.6450229901499512e+18,1333.0,-7367.0,-1818.0,1
1.6450229902004751e+18,1363.0,-7704.0,-1522.0,1
1.645022990249659e+18,1317.0,-7622.0,-1322.0,1
1.64502299030271e+18,1275.0,-7875.0,-977.0,1
1.6450229903499876e+18,1339.0,-8296.0,-872.0,1
1.645022990400734e+18,1217.0,-7939.0,-443.0,1
1.645022990451901e+18,1325.0,-8031.0,-390.0,1
1.6450229904971681e+18,1383.0,-7507.0,-577.0,1
1.6450229905521283e+18,1296.0,-7803.0,-204.0,1
1.645022990599787e+18,1363.0,-7573.0,-386.0,1
1.6450229906435249e+18,1355.0,-7451.0,-1015.0,1
1.6450229907032463e+18,1573.0,-7622.0,-1822.0,1
1.6450229907506176e+18,1963.0,-7324.0,-2950.0,1
1.6450229908011313e+18,2237.0,-7453.0,-4198.0,1
1.6450229908549304e+18,2275.0,-6700.0,-4914.0,1
1.645022990887975e+18,2281.0,-6283.0,-5465.0,1
1.6450229909493724e+18,2246.0,-5460.0,-6436.0,1
1.645022990999294e+18,2165.0,-4654.0,-5927.0,1
1.6450229910546322e+18,2271.0,-4383.0,-6254.0,1
1.6450229911034276e+18,2313.0,-3945.0,-6349.0,1
1.6450229911502188e+18,2506.0,-3732.0,-6608.0,1
1.645022991203109e+18,2526.0,-3455.0,-6206.0,1
1.645022991253403e+18,2714.0,-3412.0,-6417.0,1
1.6450229912957414e+18,2816.0,-3381.0,-6498.0,1
1.6450229913531692e+18,2988.0,-3384.0,-6513.0,1
1.6450229913991683e+18,3084.0,-3601.0,-6396.0,1
1.6450229914543537e+18,3128.0,-3666.0,-5786.0,1
1.6450229914979978e+18,3291.0,-3839.0,-6290.0,1
1.6450229915529784e+18,3216.0,-4078.0,-6165.0,1
1.645022991603998e+18,3202.0,-3917.0,-6082.0,1
1.6450229916546565e+18,3344.0,-4037.0,-5930.0,1
1.6450229917025702e+18,3270.0,-4432.0,-5399.0,1
1.645022991754239e+18,3386.0,-4969.0,-5603.0,1
1.645022991802517e+18,3632.0,-4846.0,-5702.0,1
1.6450229918555866e+18,3741.0,-4919.0,-5365.0,1
1.6450229919030976e+18,3738.0,-5136.0,-5168.0,1
1.6450229919845916e+18,3703.0,-5267.0,-5134.0,1
1.6450229919845916e+18,3703.0,-5267.0,-5134.0,1
1.645022992074054e+18,3686.0,-5317.0,-5157.0,1
1.6450229920991967e+18,3616.0,-5140.0,-4877.0,1
1.6450229921524088e+18,3446.0,-5461.0,-4423.0,1
1.6450229922027945e+18,3778.0,-6635.0,-3097.0,1
1.6450229922548948e+18,3880.0,-7145.0,-3097.0,1
1.6450229923025661e+18,4103.0,-6874.0,-2949.0,1
1.645022992358815e+18,4354.0,-7014.0,-2243.0,1
1.6450229924022984e+18,4324.0,-6723.0,-1583.0,1
1.6450229924552215e+18,4448.0,-6193.0,-1441.0,1
1.64502299249995e+18,4283.0,-6210.0,-527.0,1
1.6450229925539768e+18,4345.0,-5860.0,-32.0,1
1.6450229926014195e+18,4703.0,-5760.0,392.0,1
1.6450229926542822e+18,4772.0,-5774.0,788.0,1
1.64502299270306e+18,4873.0,-5527.0,651.0,1
1.645022992750331e+18,4726.0,-6523.0,896.0,1
1.6450229928029373e+18,4755.0,-6588.0,841.0,1
1.6450229928546476e+18,4876.0,-6312.0,1127.0,1
1.6450229929069335e+18,4909.0,-6027.0,982.0,1
1.6450229929494733e+18,4705.0,-6059.0,1203.0,1
1.6450229930062653e+18,4670.0,-6285.0,1272.0,1
1.645022993052784e+18,4705.0,-6298.0,1323.0,1
1.6450229931079816e+18,4728.0,-6139.0,1275.0,1
1.645022993151153e+18,4617.0,-6267.0,1341.0,1
1.6450229932068288e+18,4677.0,-6612.0,1060.0,1
1.6450229932536502e+18,4675.0,-6719.0,1047.0,1
1.645022993307432e+18,4630.0,-6648.0,1073.0,1
1.645022993356558e+18,4525.0,-6321.0,1383.0,1
1.645022993406035e+18,4317.0,-5920.0,1391.0,1
1.6450229934522504e+18,4192.0,-6123.0,301.0,1
1.6450229935053663e+18,4311.0,-7015.0,-194.0,1
1.6450229935524695e+18,4647.0,-6902.0,-324.0,1
1.6450229936024397e+18,4694.0,-6872.0,-88.0,1
1.645022993654392e+18,4858.0,-6527.0,-615.0,1
