timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.6463875571247777e+18,2109.0,-4755.0,5096.0,frame_1102.jpeg
1.6463875572271872e+18,2118.0,-4722.0,5091.0,frame_1103.jpeg
1.6463875572590746e+18,2329.0,-4283.0,5081.0,frame_1104.jpeg
1.6463875573061862e+18,5391.0,-3124.0,6484.0,frame_1105.jpeg
1.6463875573591089e+18,5318.0,-570.0,4588.0,frame_1106.jpeg
1.6463875574062308e+18,3845.0,-586.0,5300.0,frame_1107.jpeg
1.646387557436032e+18,3010.0,-855.0,5884.0,frame_1108.jpeg
1.646387557515737e+18,2925.0,-796.0,5930.0,frame_1109.jpeg
1.6463875075444618e+18,-8036.0,-1335.0,2543.0,frame_111.jpeg
1.646387557557971e+18,2048.0,-1187.0,7269.0,frame_1110.jpeg
1.6463875576109458e+18,2725.0,267.0,7767.0,frame_1111.jpeg
1.6463875576593306e+18,2634.0,899.0,8001.0,frame_1112.jpeg
1.6463875577069844e+18,2700.0,1479.0,7699.0,frame_1113.jpeg
1.6463875577554693e+18,2561.0,1099.0,7834.0,frame_1114.jpeg
1.6463875578088998e+18,2332.0,2157.0,7859.0,frame_1115.jpeg
1.6463875578556288e+18,2450.0,2305.0,7850.0,frame_1116.jpeg
1.6463875579103498e+18,2431.0,3031.0,7723.0,frame_1117.jpeg
1.6463875579568276e+18,2402.0,2424.0,7580.0,frame_1118.jpeg
1.6463875580083305e+18,2417.0,2900.0,7345.0,frame_1119.jpeg
1.6463875075931822e+18,-7956.0,-1242.0,2424.0,frame_112.jpeg
1.646387558055862e+18,2421.0,2569.0,7440.0,frame_1120.jpeg
1.6463875581107978e+18,2393.0,1882.0,7791.0,frame_1121.jpeg
1.6463875581571323e+18,2231.0,2163.0,8190.0,frame_1122.jpeg
1.6463875582107246e+18,2465.0,2389.0,7678.0,frame_1123.jpeg
1.64638755825735e+18,2551.0,1989.0,7868.0,frame_1124.jpeg
1.6463875583100275e+18,2756.0,2362.0,7828.0,frame_1125.jpeg
1.6463875583559132e+18,2805.0,2301.0,7778.0,frame_1126.jpeg
1.6463875584107185e+18,2662.0,2032.0,8080.0,frame_1127.jpeg
1.6463875584570225e+18,2608.0,2052.0,7773.0,frame_1128.jpeg
1.6463875585101778e+18,2594.0,2135.0,7746.0,frame_1129.jpeg
1.6463875076456566e+18,-7899.0,-1235.0,2278.0,frame_113.jpeg
1.6463875585568955e+18,2558.0,1675.0,7515.0,frame_1130.jpeg
1.6463875586112246e+18,2487.0,1881.0,7987.0,frame_1131.jpeg
1.6463875586578207e+18,2634.0,1681.0,7910.0,frame_1132.jpeg
1.6463875587078994e+18,2718.0,1356.0,7710.0,frame_1133.jpeg
1.6463875587564623e+18,2673.0,1903.0,7701.0,frame_1134.jpeg
1.6463875588053678e+18,2338.0,2409.0,7889.0,frame_1135.jpeg
1.6463875588579896e+18,2286.0,1392.0,7412.0,frame_1136.jpeg
1.6463875589098388e+18,2358.0,1269.0,7761.0,frame_1137.jpeg
1.6463875589546278e+18,2461.0,426.0,7214.0,frame_1138.jpeg
1.646387559007538e+18,2303.0,957.0,8001.0,frame_1139.jpeg
1.6463875076950938e+18,-7889.0,-1194.0,2225.0,frame_114.jpeg
1.6463875590557903e+18,1950.0,943.0,8351.0,frame_1140.jpeg
1.6463875590978808e+18,2208.0,-401.0,8320.0,frame_1141.jpeg
1.6463875591986934e+18,2299.0,-591.0,8334.0,frame_1142.jpeg
1.6463875591986934e+18,2299.0,-591.0,8334.0,frame_1143.jpeg
1.6463875592531392e+18,2406.0,-756.0,8343.0,frame_1144.jpeg
1.646387559318735e+18,2513.0,-901.0,8349.0,frame_1145.jpeg
1.6463875593884966e+18,2605.0,-1012.0,8367.0,frame_1146.jpeg
1.6463875593884966e+18,2605.0,-1012.0,8367.0,frame_1147.jpeg
1.6463875595036157e+18,2689.0,-1083.0,8372.0,frame_1148.jpeg
1.6463875595036157e+18,2689.0,-1083.0,8372.0,frame_1149.jpeg
1.6463875077457754e+18,-7935.0,-1201.0,2252.0,frame_115.jpeg
1.6463875595641188e+18,2758.0,-1129.0,8356.0,frame_1150.jpeg
1.6463875596092111e+18,2929.0,-1263.0,8217.0,frame_1151.jpeg
1.646387559662013e+18,2852.0,-1529.0,8042.0,frame_1152.jpeg
1.6463875597092854e+18,3491.0,-2598.0,7124.0,frame_1153.jpeg
1.6463875597601754e+18,3650.0,-2527.0,7025.0,frame_1154.jpeg
1.64638755981204e+18,3846.0,-2716.0,6995.0,frame_1155.jpeg
1.6463875598573878e+18,3783.0,-2915.0,7082.0,frame_1156.jpeg
1.6463875599120968e+18,3650.0,-2980.0,7100.0,frame_1157.jpeg
1.6463875599633257e+18,3455.0,-2915.0,7045.0,frame_1158.jpeg
1.6463875600104906e+18,3336.0,-2787.0,6874.0,frame_1159.jpeg
1.6463875077937928e+18,-7971.0,-1272.0,2304.0,frame_116.jpeg
1.6463875600615747e+18,3156.0,-2538.0,6531.0,frame_1160.jpeg
1.646387560114983e+18,3130.0,-2539.0,5812.0,frame_1161.jpeg
1.6463875601631437e+18,2517.0,-3256.0,3703.0,frame_1162.jpeg
1.646387560206666e+18,2559.0,-4019.0,1677.0,frame_1163.jpeg
1.6463875602850642e+18,2858.0,-4677.0,872.0,frame_1164.jpeg
1.6463875602850642e+18,2858.0,-4677.0,872.0,frame_1165.jpeg
1.6463875603581028e+18,5285.0,-9256.0,-818.0,frame_1166.jpeg
1.646387560408529e+18,5115.0,-10366.0,-1541.0,frame_1167.jpeg
1.6463875604584156e+18,4505.0,-9126.0,-1563.0,frame_1168.jpeg
1.6463875605087685e+18,4061.0,-6958.0,-1613.0,frame_1169.jpeg
1.6463875078426094e+18,-8004.0,-1322.0,2347.0,frame_117.jpeg
