timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, BOLT_LEFT
1.64493248516265e+18,-1115.0,4889.0,6582.0,1
1.644932485209151e+18,-1131.0,5116.0,6524.0,1
1.6449324852651018e+18,-995.0,5054.0,6411.0,1
1.6449324853091236e+18,-1100.0,5085.0,6528.0,1
1.6449324853634452e+18,-1190.0,4923.0,6505.0,1
1.644932485407975e+18,-1099.0,5028.0,6559.0,1
1.6449324854642847e+18,-1197.0,4988.0,6534.0,1
1.64493248551339e+18,-1268.0,4936.0,6503.0,1
1.6449324855638728e+18,-1289.0,4908.0,6461.0,1
1.6449324856126717e+18,-1320.0,4866.0,6453.0,1
1.6449324856639805e+18,-1373.0,4999.0,6524.0,1
1.6449324857133376e+18,-1297.0,4731.0,6542.0,1
1.6449324857646216e+18,-1423.0,4835.0,6586.0,1
1.6449324858129894e+18,-1345.0,4987.0,6327.0,1
1.644932485865206e+18,-1453.0,4915.0,6560.0,1
1.6449324859143519e+18,-1363.0,4447.0,6623.0,1
1.6449324859641224e+18,-1384.0,5001.0,6372.0,1
1.6449324860137976e+18,-1540.0,4624.0,6597.0,1
1.6449324860772785e+18,-1389.0,5042.0,6424.0,1
1.6449324861192883e+18,-1692.0,4874.0,6649.0,1
1.6449324861651622e+18,-1490.0,4852.0,6466.0,1
1.6449324862146947e+18,-1493.0,4594.0,6445.0,1
1.6449324862633915e+18,-1781.0,5132.0,6705.0,1
1.644932486312989e+18,-1422.0,4152.0,6664.0,1
1.6449324863607217e+18,-1790.0,4958.0,6453.0,1
1.6449324864127032e+18,-1587.0,4818.0,6422.0,1
1.6449324864646019e+18,-1829.0,4756.0,6165.0,1
1.6449324865140675e+18,-1806.0,4810.0,6556.0,1
1.6449324865654956e+18,-1609.0,4957.0,6488.0,1
1.6449324866142387e+18,-2103.0,4750.0,6471.0,1
1.644932486661074e+18,-1929.0,4603.0,6357.0,1
1.644932486717332e+18,-1855.0,4814.0,6630.0,1
1.6449324867603758e+18,-1735.0,4766.0,6473.0,1
1.6449324868140047e+18,-2023.0,4778.0,6365.0,1
1.6449324868650465e+18,-2130.0,4159.0,6668.0,1
1.6449324869124076e+18,-2040.0,4309.0,6577.0,1
1.6449324869654802e+18,-2013.0,4530.0,6534.0,1
1.6449324870126666e+18,-2350.0,4209.0,6622.0,1
1.6449324870624276e+18,-2267.0,3756.0,6693.0,1
1.644932487114512e+18,-2114.0,4517.0,6700.0,1
1.6449324871639127e+18,-2340.0,4305.0,6597.0,1
1.6449324872175204e+18,-2463.0,3859.0,6570.0,1
1.6449324872629617e+18,-2343.0,4095.0,6563.0,1
1.644932487314427e+18,-2414.0,4057.0,6747.0,1
1.644932487356352e+18,-2335.0,4289.0,6576.0,1
1.6449324874181635e+18,-2673.0,4029.0,6804.0,1
1.6449324874694218e+18,-2513.0,3826.0,6683.0,1
1.6449324875144573e+18,-2436.0,3984.0,6691.0,1
1.6449324875679775e+18,-2663.0,3895.0,6806.0,1
1.644932500866573e+18,-618.0,8851.0,1029.0,1
1.644932500866573e+18,-618.0,8851.0,1029.0,1
1.6449325008983347e+18,15.0,8557.0,991.0,1
1.6449325009717855e+18,59.0,8236.0,921.0,1
1.644932501008036e+18,-258.0,8091.0,921.0,1
1.644932501101713e+18,-105.0,8367.0,1063.0,1
1.644932501101713e+18,-105.0,8367.0,1063.0,1
1.644932501171089e+18,-192.0,7997.0,1376.0,1
1.6449325012501274e+18,-556.0,7957.0,1310.0,1
1.6449325012985564e+18,-608.0,7991.0,1257.0,1
1.6449325013253757e+18,-635.0,8047.0,1209.0,1
1.64493250139559e+18,-617.0,8120.0,1158.0,1
1.6449325014453018e+18,-586.0,8240.0,1095.0,1
1.6449325014453018e+18,-586.0,8240.0,1095.0,1
1.6449325015270292e+18,-291.0,8726.0,866.0,1
1.6449325015270292e+18,-291.0,8726.0,866.0,1
1.6449325016536684e+18,-249.0,8757.0,857.0,1
