timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, DELIVERY_RIGHT
1.6461449562374036e+18,-716.0,1054.0,6387.0,1
1.64614495628528e+18,-946.0,1255.0,6729.0,1
1.6461449563348477e+18,-1524.0,2074.0,6173.0,1
1.6461450307735337e+18,4771.0,6132.0,6635.0,1
1.646145030832524e+18,5085.0,4732.0,7390.0,1
1.6461450308756564e+18,4666.0,2941.0,7677.0,1
1.6461450309289372e+18,4764.0,1386.0,6723.0,1
1.6461450309788244e+18,4273.0,803.0,5562.0,1
1.646145031030425e+18,3226.0,38.0,5226.0,1
1.6461450310784568e+18,2695.0,-514.0,5511.0,1
1.646145031130688e+18,2466.0,-1904.0,5680.0,1
1.646145031175678e+18,2495.0,-2824.0,6412.0,1
1.6461450312288617e+18,3112.0,-3422.0,6600.0,1
1.6461450312841795e+18,3032.0,-3666.0,6873.0,1
1.6461450313313464e+18,3422.0,-3639.0,6531.0,1
1.646145031396874e+18,3524.0,-4342.0,6024.0,1
1.6461450314311826e+18,2982.0,-4530.0,5918.0,1
1.646145031481053e+18,2411.0,-5201.0,6946.0,1
1.6461450315314714e+18,2737.0,-5518.0,5814.0,1
1.6461450315801418e+18,2691.0,-5921.0,6048.0,1
1.646145031628918e+18,3205.0,-5069.0,5882.0,1
1.6461450316803791e+18,3020.0,-5137.0,5998.0,1
1.6461450317317379e+18,3671.0,-5236.0,5264.0,1
1.6461450317760678e+18,3647.0,-5013.0,4634.0,1
1.646145031831256e+18,2824.0,-5318.0,5642.0,1
1.646145031875788e+18,3240.0,-6401.0,5385.0,1
1.6461450319321252e+18,4175.0,-4777.0,3692.0,1
1.6461450319782313e+18,3729.0,-4664.0,4143.0,1
1.6461450320311084e+18,3365.0,-5656.0,4762.0,1
1.646145032083446e+18,2595.0,-6106.0,4841.0,1
1.646145032132146e+18,2816.0,-6188.0,4880.0,1
1.6461450321814968e+18,2245.0,-5970.0,5821.0,1
1.6461450322315528e+18,2823.0,-5491.0,5267.0,1
1.6461450322812257e+18,3363.0,-5756.0,5098.0,1
1.6461450323280197e+18,3806.0,-5300.0,4736.0,1
1.6461450323807347e+18,3887.0,-5428.0,4668.0,1
1.6461450324267587e+18,4066.0,-5303.0,5098.0,1
1.6461450324817907e+18,3621.0,-4454.0,5689.0,1
1.6461450325247823e+18,3680.0,-4484.0,5285.0,1
1.6461450325821215e+18,3367.0,-3107.0,4956.0,1
1.646145032629438e+18,3539.0,-2043.0,4751.0,1
1.6461450326861212e+18,4059.0,-1160.0,4524.0,1
1.646145032727964e+18,5063.0,-1293.0,4112.0,1
1.646145032780227e+18,5712.0,-1687.0,3619.0,1
1.646145032827845e+18,5852.0,466.0,4814.0,1
1.6461450328826852e+18,5751.0,-751.0,4915.0,1
1.6461450329344397e+18,5155.0,225.0,6820.0,1
1.646145032980202e+18,4145.0,2094.0,8573.0,1
