timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, BOLT_RIGHT
1.6461505333761887e+18,3093.0,-7165.0,3232.0,1
1.6461505334261284e+18,2609.0,-6196.0,4336.0,1
1.6461505334755323e+18,2664.0,-7083.0,3820.0,1
1.6461505335258186e+18,2989.0,-6391.0,3998.0,1
1.6461505335779174e+18,3252.0,-6575.0,4091.0,1
1.646150533626418e+18,2593.0,-6150.0,4675.0,1
1.6461505336778547e+18,2758.0,-6791.0,3801.0,1
1.6461505337244047e+18,2720.0,-5690.0,4816.0,1
1.6461505337773517e+18,3202.0,-6774.0,3621.0,1
1.646150533826168e+18,2652.0,-5729.0,4888.0,1
1.6461505338783278e+18,3121.0,-6610.0,3799.0,1
1.6461505339313e+18,3219.0,-6383.0,4149.0,1
1.6461505339773868e+18,2834.0,-6708.0,4168.0,1
1.646150534023241e+18,2999.0,-6010.0,4529.0,1
1.6461505340749834e+18,3429.0,-6672.0,3469.0,1
1.6461505341222226e+18,2939.0,-6462.0,4182.0,1
1.646150534176987e+18,3538.0,-6992.0,3314.0,1
1.6461505342252444e+18,2477.0,-5987.0,4790.0,1
1.6461505342749645e+18,2799.0,-6434.0,4074.0,1
1.6461505343230764e+18,3213.0,-6640.0,4040.0,1
1.6461505343771907e+18,2524.0,-6721.0,3975.0,1
1.6461505344307786e+18,3115.0,-6577.0,3906.0,1
1.6461505344767375e+18,2764.0,-6508.0,4137.0,1
1.646150534529285e+18,3191.0,-6469.0,4283.0,1
1.6461505345785226e+18,2445.0,-6709.0,3908.0,1
1.6461505346288517e+18,3117.0,-6204.0,4675.0,1
1.6461505346756943e+18,3033.0,-6194.0,4187.0,1
1.6461505347220562e+18,2752.0,-6555.0,4172.0,1
1.6461505348086083e+18,2766.0,-6355.0,4428.0,1
1.6461505348276585e+18,2869.0,-6010.0,4414.0,1
1.6461505348810476e+18,3198.0,-6684.0,3752.0,1
1.646150534930139e+18,2748.0,-5972.0,4368.0,1
1.6461505349743155e+18,3193.0,-6899.0,3418.0,1
1.646150535027082e+18,2899.0,-6638.0,3816.0,1
1.6461505350764198e+18,2670.0,-7027.0,3816.0,1
1.646150535129054e+18,2560.0,-6176.0,4216.0,1
1.6461505351830932e+18,2975.0,-7032.0,3929.0,1
1.646150535230846e+18,2773.0,-6282.0,4201.0,1
1.6461505352778314e+18,3091.0,-6773.0,3812.0,1
1.6461505353284705e+18,2683.0,-6546.0,4144.0,1
1.646150535375873e+18,2813.0,-6396.0,4335.0,1
1.6461505354306755e+18,2797.0,-6279.0,4385.0,1
1.6461505354799027e+18,3014.0,-6678.0,3983.0,1
1.6461505355294047e+18,2908.0,-7507.0,2731.0,1
1.646150535551392e+18,3138.0,-7186.0,3368.0,1
1.646150535607504e+18,3089.0,-6518.0,4118.0,1
1.6461505356799537e+18,2720.0,-5028.0,5430.0,1
1.646150535729759e+18,2559.0,-6252.0,4621.0,1
1.646150535778619e+18,3055.0,-6519.0,3801.0,1
1.6461505358291597e+18,3058.0,-6121.0,4146.0,1
1.6461505358769324e+18,3145.0,-6743.0,3836.0,1
1.6461505359307722e+18,2780.0,-7053.0,3522.0,1
1.646150535981104e+18,2537.0,-7132.0,3496.0,1
1.6461505360305308e+18,2110.0,-4699.0,6724.0,1
1.6461505360837294e+18,2020.0,-7260.0,3283.0,1
1.646150536130752e+18,3550.0,-6859.0,2331.0,1
1.6461505361794883e+18,3170.0,-5573.0,5602.0,1
1.646150536227514e+18,2240.0,-6957.0,3373.0,1
1.6461505362808632e+18,2810.0,-6656.0,3724.0,1
1.6461505363295268e+18,3016.0,-6566.0,4477.0,1
1.6461505363819548e+18,2195.0,-6299.0,4771.0,1
1.646150536429522e+18,2998.0,-6915.0,3774.0,1
1.6461505364843738e+18,3180.0,-5994.0,4654.0,1
1.6461505365291103e+18,2555.0,-6388.0,4147.0,1
1.646150536581325e+18,2257.0,-6660.0,4221.0,1
1.6461505366286574e+18,2934.0,-6830.0,3649.0,1
1.646150536676122e+18,3066.0,-6518.0,3784.0,1
1.6461505367300063e+18,2997.0,-6253.0,4375.0,1
1.6461505367819776e+18,2738.0,-6366.0,4307.0,1
1.6461505368301043e+18,2616.0,-6435.0,4309.0,1
1.6461505368823977e+18,2771.0,-6622.0,4239.0,1
1.6461505369296072e+18,2977.0,-6631.0,4139.0,1
1.6461505369797755e+18,2649.0,-6271.0,4251.0,1
1.64615053703005e+18,2711.0,-6708.0,4398.0,1
1.6461505370796808e+18,2574.0,-5426.0,4655.0,1
1.6461505371308388e+18,2474.0,-6594.0,4039.0,1
1.64615053718007e+18,2987.0,-6574.0,4502.0,1
1.6461505372282263e+18,3373.0,-6638.0,3538.0,1
1.6461505372784742e+18,2032.0,-5716.0,5521.0,1
1.6461505373287841e+18,3072.0,-6673.0,3834.0,1
1.6461505373794414e+18,2029.0,-6077.0,4746.0,1
1.646150537429096e+18,3019.0,-6321.0,4667.0,1
1.6461505374834245e+18,2405.0,-6466.0,4621.0,1
1.6461505375291566e+18,2739.0,-5846.0,4469.0,1
1.6461505375806945e+18,2705.0,-6338.0,4702.0,1
1.646150537635857e+18,2755.0,-6099.0,4621.0,1
1.6461505376785697e+18,2854.0,-6174.0,4146.0,1
1.6461505377343084e+18,3540.0,-6678.0,3370.0,1
1.6461505377832643e+18,2921.0,-5270.0,5265.0,1
1.646150537834345e+18,2271.0,-7049.0,3879.0,1
1.6461505378831107e+18,2974.0,-6459.0,4328.0,1
1.646150537930209e+18,3031.0,-6817.0,3877.0,1
1.6461505379785823e+18,2353.0,-5946.0,4524.0,1
1.6461505380335708e+18,3045.0,-6503.0,4164.0,1
1.6461505380788001e+18,2449.0,-6868.0,4133.0,1
1.6461505381334925e+18,3126.0,-6147.0,3806.0,1
1.6461505381837816e+18,2646.0,-6812.0,4402.0,1
1.6461505382338532e+18,3360.0,-6603.0,3398.0,1
1.6461505382771625e+18,2340.0,-5854.0,4802.0,1
1.646150538329895e+18,2451.0,-6782.0,4035.0,1
1.6461505383780365e+18,2587.0,-6028.0,4605.0,1
1.646150538434606e+18,2794.0,-6952.0,3609.0,1
1.6461505384785825e+18,3512.0,-6388.0,3950.0,1
1.6461505385286572e+18,3345.0,-6945.0,3732.0,1
1.6461505385825846e+18,2009.0,-6140.0,4610.0,1
1.646150538633849e+18,2872.0,-6525.0,4127.0,1
1.6461505386826145e+18,3162.0,-6193.0,4584.0,1
1.6461505387397486e+18,2680.0,-6231.0,4215.0,1
1.6461505387808678e+18,2656.0,-6192.0,4305.0,1
1.646150538828867e+18,2616.0,-6153.0,4452.0,1
1.646150538879504e+18,3339.0,-7285.0,3422.0,1
1.6461505389318328e+18,3559.0,-7133.0,2981.0,1
1.6461505389820186e+18,2292.0,-6719.0,4569.0,1
1.6461505390335777e+18,2297.0,-7173.0,4380.0,1
1.6461505390829276e+18,2973.0,-5931.0,3931.0,1
1.6461505391315953e+18,2990.0,-6661.0,4353.0,1
1.6461505391832579e+18,2586.0,-6504.0,3877.0,1
1.646150539232633e+18,2716.0,-6684.0,3813.0,1
1.6461505392828416e+18,2897.0,-6533.0,4289.0,1
1.6461505393332168e+18,2870.0,-6669.0,3784.0,1
1.6461505393852347e+18,2327.0,-6404.0,4319.0,1
1.6461505394330565e+18,2892.0,-6903.0,4219.0,1
1.6461505394815782e+18,2341.0,-6399.0,4477.0,1
1.6461505395357217e+18,2835.0,-6937.0,4131.0,1
1.646150539584999e+18,2720.0,-6457.0,4424.0,1
1.6461505396322117e+18,2998.0,-6561.0,3752.0,1
1.6461505396735839e+18,2493.0,-6027.0,4559.0,1
1.6461505397362033e+18,2826.0,-6222.0,4509.0,1
1.6461505397852692e+18,2642.0,-6716.0,4229.0,1
1.646150539827508e+18,2445.0,-6047.0,4283.0,1
1.646150539867929e+18,2538.0,-6138.0,4237.0,1
1.6461505399326592e+18,2642.0,-6210.0,4217.0,1
1.6461505399870467e+18,3153.0,-6435.0,4714.0,1
1.6461505400334664e+18,2541.0,-6656.0,4044.0,1
1.6461505400835607e+18,2635.0,-6189.0,4282.0,1
1.6461505401348588e+18,3076.0,-6497.0,4161.0,1
1.6461505401851878e+18,2928.0,-7018.0,4110.0,1
1.646150540236531e+18,2278.0,-6762.0,4048.0,1
1.6461505402906363e+18,2617.0,-6782.0,4090.0,1
1.6461505402906363e+18,2617.0,-6782.0,4090.0,1
1.6461505403841108e+18,2665.0,-6885.0,3995.0,1
1.6461505404140086e+18,2711.0,-6935.0,3865.0,1
1.6461505404676142e+18,2700.0,-6858.0,3839.0,1
1.646150540523765e+18,2664.0,-6810.0,3982.0,1
1.646150540585905e+18,2489.0,-6448.0,4247.0,1
1.6461505406303685e+18,2811.0,-6000.0,3581.0,1
1.6461505406826688e+18,2553.0,-6593.0,3929.0,1
1.6461505891445996e+18,3584.0,-6177.0,3480.0,1
1.6461505891995901e+18,3508.0,-6264.0,3947.0,1
1.6461505892426693e+18,3429.0,-6216.0,3856.0,1
1.6461505892995113e+18,3559.0,-6232.0,3879.0,1
1.646150589345384e+18,3603.0,-6286.0,3800.0,1
1.646150589396182e+18,3672.0,-6193.0,3943.0,1
1.6461505894433206e+18,3620.0,-6286.0,3817.0,1
1.646150589495521e+18,3768.0,-6129.0,3704.0,1
1.646150589544001e+18,3726.0,-6288.0,3758.0,1
1.6461505896046333e+18,3598.0,-6736.0,3696.0,1
1.6461505896430907e+18,3629.0,-6256.0,3842.0,1
1.6461505896987753e+18,3595.0,-6234.0,3567.0,1
1.6461505897456873e+18,3483.0,-6557.0,3581.0,1
1.6461505897953085e+18,3527.0,-6393.0,3592.0,1
1.6461505898380808e+18,3568.0,-6273.0,3648.0,1
1.6461505898969423e+18,3636.0,-6349.0,3563.0,1
1.6461505899435904e+18,3800.0,-6406.0,3534.0,1
1.6461505899926894e+18,3759.0,-6239.0,3498.0,1
