timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, SCREW_RIGHT
1.6461509379342124e+18,-775.0,-6313.0,3959.0,1
1.646150937986802e+18,-1766.0,-6256.0,4604.0,1
1.646150938036168e+18,-1553.0,-6438.0,4398.0,1
1.6461509380820733e+18,-1634.0,-6465.0,4423.0,1
1.646150938132532e+18,-1769.0,-5452.0,4134.0,1
1.6461509381822766e+18,-1681.0,-6955.0,4152.0,1
1.6461509382313344e+18,-614.0,-9622.0,2814.0,1
1.6461509382823519e+18,-1608.0,-4453.0,4660.0,1
1.6461509383319885e+18,-1240.0,-8851.0,3605.0,1
1.6461509383822623e+18,-1056.0,-5519.0,4936.0,1
1.6461509384332434e+18,-2099.0,-7278.0,4398.0,1
1.646150938485355e+18,-1216.0,-8039.0,2780.0,1
1.6461509385318392e+18,-1244.0,-6906.0,3776.0,1
1.646150938585881e+18,-1591.0,-6625.0,3454.0,1
1.6461509386315382e+18,-1562.0,-6811.0,3257.0,1
1.6461509386846103e+18,-1049.0,-9158.0,2892.0,1
1.6461509387321784e+18,-1510.0,-5137.0,4764.0,1
1.646150938785255e+18,-1678.0,-8452.0,4737.0,1
1.646150938831924e+18,-854.0,-6734.0,3718.0,1
1.6461509388840845e+18,-1579.0,-6072.0,4116.0,1
1.6461509389308257e+18,-2008.0,-7352.0,3804.0,1
1.6461509389812828e+18,-1649.0,-6901.0,4024.0,1
1.6461509390321009e+18,-1176.0,-6902.0,3778.0,1
1.646150939090402e+18,-1849.0,-6650.0,3143.0,1
1.646150939133094e+18,-1562.0,-8681.0,2915.0,1
1.6461509391806858e+18,-2008.0,-5407.0,4587.0,1
1.6461509392371292e+18,-1131.0,-9781.0,2910.0,1
1.646150939286005e+18,-1410.0,-7057.0,3069.0,1
1.6461509393366108e+18,-2155.0,-6080.0,4238.0,1
1.646150939384943e+18,-1857.0,-9261.0,3051.0,1
1.6461509394369236e+18,-1160.0,-7062.0,2932.0,1
1.6461509394808402e+18,-2025.0,-6292.0,3778.0,1
1.646150939532211e+18,-1926.0,-6165.0,3305.0,1
1.6461509395807974e+18,-1086.0,-9181.0,2994.0,1
1.6461509396369037e+18,-726.0,-6979.0,4008.0,1
1.6461509396853932e+18,-1894.0,-7920.0,4422.0,1
1.6461509397400988e+18,-1310.0,-7118.0,3594.0,1
1.6461509397849556e+18,-1640.0,-7036.0,4031.0,1
1.6461509398371126e+18,-1648.0,-7788.0,2539.0,1
1.6461509398849288e+18,-2074.0,-6111.0,3869.0,1
1.6461509399340127e+18,-1975.0,-6280.0,3261.0,1
1.6461509399857285e+18,-1781.0,-7394.0,3250.0,1
1.6461509400344783e+18,-794.0,-8551.0,4009.0,1
1.6461509400806172e+18,-1540.0,-7354.0,4522.0,1
1.6461509401358628e+18,-1645.0,-8302.0,3245.0,1
1.646150940184112e+18,-1064.0,-7136.0,3305.0,1
1.6461509402356047e+18,-1669.0,-7390.0,3343.0,1
1.6461509402840786e+18,-2312.0,-5964.0,4219.0,1
1.6461509403354212e+18,-1696.0,-7512.0,3591.0,1
1.646150940384981e+18,-2534.0,-6627.0,4261.0,1
1.6461509404362737e+18,-1262.0,-7495.0,3113.0,1
1.6461509404839304e+18,-1603.0,-7870.0,3196.0,1
1.6461509405347438e+18,-1211.0,-7640.0,3215.0,1
1.646150940568556e+18,-1130.0,-8098.0,3297.0,1
1.6461509406332163e+18,-2080.0,-7131.0,3645.0,1
1.6461509406839137e+18,-1314.0,-8270.0,3101.0,1
1.6461509407330688e+18,-1809.0,-6107.0,3876.0,1
1.6461509407843945e+18,-2248.0,-6477.0,4791.0,1
1.646150940833823e+18,-1334.0,-8755.0,2588.0,1
1.6461509408862129e+18,-1837.0,-6863.0,3104.0,1
1.646150940934176e+18,-2396.0,-7691.0,4502.0,1
1.6461509409853693e+18,-2457.0,-6909.0,5476.0,1
1.6461509410354022e+18,-2886.0,-9127.0,5635.0,1
1.646150941088908e+18,-2557.0,-3343.0,5254.0,1
1.6461509411332032e+18,-1659.0,-4129.0,5069.0,1
1.6461509411889132e+18,-518.0,-2386.0,6421.0,1
1.6461509412331387e+18,635.0,-5306.0,7390.0,1
1.646150941288563e+18,-492.0,-1991.0,9023.0,1
1.6461509413320776e+18,-1507.0,-3095.0,7841.0,1
1.6461509413853158e+18,-3393.0,-2250.0,8283.0,1
1.6461509414339197e+18,-2428.0,-3109.0,7258.0,1
1.646150941489338e+18,-2391.0,-2973.0,7961.0,1
1.6461509415371564e+18,-2217.0,-2821.0,7007.0,1
1.646150941585951e+18,-2509.0,-3377.0,7535.0,1
1.646150941636938e+18,-2467.0,-3355.0,7858.0,1
1.6461509416864678e+18,-2374.0,-3421.0,7751.0,1
1.6461509417331062e+18,-2341.0,-3236.0,7224.0,1
1.6461509417844214e+18,-2462.0,-3202.0,7732.0,1
1.6461509418325553e+18,-2311.0,-3214.0,7441.0,1
1.6461509418842624e+18,-2426.0,-3417.0,7616.0,1
1.6461509419372833e+18,-2294.0,-3420.0,7389.0,1
1.6461509419837614e+18,-2380.0,-3180.0,7559.0,1
1.6461509420338286e+18,-2469.0,-3409.0,7203.0,1
1.6461509420882007e+18,-2295.0,-3283.0,7466.0,1
1.646150942138273e+18,-2528.0,-3412.0,7465.0,1
1.6461509421870582e+18,-2517.0,-3148.0,6966.0,1
1.646150942237391e+18,-2733.0,-3429.0,7922.0,1
1.6461509422881073e+18,-2461.0,-3261.0,7196.0,1
1.6461509423382725e+18,-2714.0,-3270.0,7378.0,1
1.6461509423869658e+18,-2773.0,-3208.0,7469.0,1
1.6461509424374019e+18,-2725.0,-3385.0,7457.0,1
1.6461509424877071e+18,-2512.0,-3309.0,7277.0,1
1.6461509425410524e+18,-2680.0,-3445.0,7527.0,1
1.6461509425871708e+18,-2622.0,-3331.0,7231.0,1
1.6461509426369518e+18,-2682.0,-3497.0,7247.0,1
1.6461509426855657e+18,-2684.0,-3293.0,7222.0,1
1.6461509427359757e+18,-2687.0,-3280.0,7076.0,1
1.6461509427867507e+18,-2794.0,-3395.0,7408.0,1
1.6461509428407078e+18,-2792.0,-3546.0,7363.0,1
1.6461509428871933e+18,-2903.0,-3563.0,7415.0,1
1.6461509429374884e+18,-2836.0,-3288.0,7526.0,1
1.6461509429871212e+18,-2831.0,-3398.0,7270.0,1
1.6461509430371622e+18,-2797.0,-3521.0,7625.0,1
1.6461509430853007e+18,-2547.0,-3267.0,7005.0,1
1.6461509431403963e+18,-2766.0,-3482.0,7322.0,1
1.646150943186493e+18,-2702.0,-3311.0,7299.0,1
1.6461509432412516e+18,-2969.0,-3562.0,7032.0,1
1.6461509432899397e+18,-2809.0,-3240.0,7313.0,1
1.6461509433424445e+18,-2793.0,-3552.0,7296.0,1
1.646150943386522e+18,-2875.0,-3559.0,7501.0,1
1.6461509434418583e+18,-3083.0,-3338.0,6859.0,1
1.6461509434854277e+18,-3094.0,-3334.0,7385.0,1
1.6461509435376625e+18,-2938.0,-3636.0,7040.0,1
1.6461509435856645e+18,-3736.0,-3739.0,7790.0,1
1.6461509497484106e+18,-6501.0,-3816.0,3679.0,1
1.646150949794817e+18,-6498.0,-4010.0,3694.0,1
1.646150949845653e+18,-6492.0,-3840.0,3634.0,1
1.6461509498957076e+18,-6528.0,-3984.0,3783.0,1
1.6461509499458317e+18,-6445.0,-4124.0,3591.0,1
1.646150949996218e+18,-6462.0,-3905.0,3740.0,1
1.6461509500455002e+18,-6558.0,-3810.0,3723.0,1
1.6461509500960632e+18,-6452.0,-3938.0,3698.0,1
1.6461509501482516e+18,-6374.0,-4012.0,3592.0,1
