timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, DELIVERY_BIMANUAL
1.645544684122676e+18,722.0,3781.0,7028.0,1
1.6455446841779779e+18,77.0,3713.0,6768.0,1
1.645544684233794e+18,-59.0,4430.0,7589.0,1
1.645544684278284e+18,761.0,3939.0,7620.0,1
1.6455446843361367e+18,1100.0,4406.0,8196.0,1
1.645544684383196e+18,576.0,4315.0,7388.0,1
1.6455446844353152e+18,-68.0,5253.0,7333.0,1
1.6455446844770266e+18,-461.0,5260.0,6790.0,1
1.6455446845368556e+18,-149.0,4111.0,6842.0,1
1.645544684581773e+18,139.0,3673.0,7273.0,1
1.6455446846331904e+18,38.0,3359.0,8040.0,1
1.645544684683575e+18,320.0,3260.0,7716.0,1
1.645544684738412e+18,229.0,4236.0,8000.0,1
1.645544684778195e+18,146.0,4555.0,7997.0,1
1.645544684826487e+18,126.0,4065.0,8001.0,1
1.645544684876505e+18,314.0,2782.0,8034.0,1
1.6455446849159188e+18,456.0,2368.0,8071.0,1
1.6455446849771512e+18,546.0,2270.0,8108.0,1
1.6455446850271992e+18,591.0,2375.0,8097.0,1
1.645544685067668e+18,568.0,1319.0,8574.0,1
1.6455446851276042e+18,738.0,1786.0,8306.0,1
1.6455446851549975e+18,661.0,3413.0,8791.0,1
1.645544685245526e+18,623.0,3437.0,8758.0,1
1.6455446852538253e+18,531.0,3180.0,8691.0,1
1.645544685315755e+18,477.0,2839.0,8681.0,1
1.6455446854026115e+18,462.0,2319.0,8634.0,1
1.6455446854275008e+18,599.0,1165.0,8542.0,1
1.6455446854968061e+18,951.0,593.0,8425.0,1
1.6455446855281208e+18,1196.0,2157.0,7966.0,1
1.645544685595387e+18,845.0,1842.0,8225.0,1
1.6455446856276106e+18,1203.0,144.0,8077.0,1
1.6455446856869325e+18,655.0,-819.0,8150.0,1
1.6455446857345933e+18,73.0,-769.0,8113.0,1
1.6455446857833654e+18,463.0,-2617.0,6719.0,1
1.6455446858357276e+18,2600.0,-5663.0,6777.0,1
1.645544685884517e+18,3559.0,-1573.0,5757.0,1
1.6455446859350484e+18,3395.0,-3111.0,8640.0,1
1.645544685981787e+18,2959.0,-684.0,8914.0,1
1.6455446860215567e+18,2317.0,-2914.0,10099.0,1
1.6455446860870994e+18,1891.0,-4265.0,10683.0,1
1.6455446861263212e+18,3644.0,-2602.0,8384.0,1
1.6455446861868692e+18,4355.0,-6592.0,7081.0,1
1.6455446862352883e+18,2556.0,-244.0,6895.0,1
1.6455446862821821e+18,2980.0,166.0,8995.0,1
1.6455446863357676e+18,1838.0,2460.0,5795.0,1
1.6455446863811876e+18,1040.0,1183.0,7791.0,1
1.645544686435233e+18,517.0,1656.0,7017.0,1
1.64554468648216e+18,412.0,3214.0,7480.0,1
1.6455446865254136e+18,392.0,3295.0,7764.0,1
1.6455446865840161e+18,573.0,2443.0,7565.0,1
1.6455446866262052e+18,197.0,3380.0,7458.0,1
1.6455446866814572e+18,-195.0,2534.0,7206.0,1
1.6455446867355384e+18,-360.0,2887.0,8754.0,1
1.6455446867861315e+18,-151.0,3855.0,8670.0,1
1.6455446868265838e+18,62.0,3151.0,7905.0,1
1.6455446868843515e+18,-1564.0,246.0,9548.0,1
1.6455446869356065e+18,-2258.0,1066.0,9945.0,1
1.6455446869850465e+18,1374.0,1326.0,6426.0,1
1.6455446870379717e+18,3354.0,-1319.0,5626.0,1
1.6455446870871304e+18,3239.0,1110.0,7327.0,1
1.6455446871373642e+18,3111.0,1291.0,7807.0,1
1.6455446871850158e+18,1284.0,-2325.0,9562.0,1
1.6455446872357286e+18,1099.0,157.0,10063.0,1
1.6455446872841423e+18,454.0,-1408.0,9313.0,1
