timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, BOLT_LEFT
1.6449324775518175e+18,-439.0,-6554.0,-4517.0,1
1.6449324775968965e+18,603.0,-6299.0,-4161.0,1
1.644932477651967e+18,95.0,-6603.0,-4498.0,1
1.6449324777047432e+18,-373.0,-8070.0,-3758.0,1
1.6449324777521933e+18,-1005.0,-6636.0,-3022.0,1
1.644932477804438e+18,-1040.0,-6704.0,-2141.0,1
1.6449324778474125e+18,-4.0,-8521.0,-2914.0,1
1.6449324779065546e+18,787.0,-7627.0,-1337.0,1
1.6449324779486134e+18,1033.0,-6471.0,-1494.0,1
1.6449324780005181e+18,-135.0,-7402.0,381.0,1
1.6449324780482388e+18,15.0,-9805.0,-509.0,1
1.6449324781053028e+18,242.0,-9668.0,-1893.0,1
1.6449324781550236e+18,178.0,-10128.0,-2639.0,1
1.6449324782000899e+18,1036.0,-7710.0,-3267.0,1
1.644932478250964e+18,1071.0,-6611.0,-2108.0,1
1.6449324783043625e+18,580.0,-4431.0,-1033.0,1
1.6449324783515438e+18,-706.0,-7867.0,-1779.0,1
1.6449324784035743e+18,471.0,-7759.0,-925.0,1
1.6449324784495885e+18,695.0,-6281.0,-322.0,1
1.644932478502119e+18,2201.0,-10440.0,-729.0,1
1.644932478549305e+18,2118.0,-6382.0,1476.0,1
1.6449324786062717e+18,112.0,-11317.0,4483.0,1
1.6449324786541926e+18,-33.0,-2803.0,6604.0,1
1.6449324787049615e+18,-2719.0,-5306.0,8679.0,1
1.644932478757548e+18,-3210.0,-5317.0,8696.0,1
1.644932478804938e+18,-4321.0,-4252.0,8095.0,1
1.644932478855168e+18,-5185.0,-4453.0,7547.0,1
1.64493247890229e+18,-5228.0,-5070.0,6639.0,1
1.6449324789548488e+18,-3670.0,-4506.0,3968.0,1
1.6449324790321068e+18,-1851.0,-7257.0,3316.0,1
1.6449324790552568e+18,-1474.0,-7375.0,3218.0,1
1.6449324791006618e+18,648.0,-5890.0,3260.0,1
1.6449324791555098e+18,1233.0,-6654.0,1887.0,1
1.6449324792049275e+18,717.0,-6989.0,2775.0,1
1.6449324792563855e+18,237.0,-6839.0,3413.0,1
1.644932479303459e+18,984.0,-6722.0,3050.0,1
1.6449324793561907e+18,678.0,-6865.0,3678.0,1
1.6449324794054047e+18,441.0,-6590.0,3527.0,1
1.6449324794588321e+18,693.0,-7119.0,1718.0,1
1.6449324795093578e+18,-23.0,-9137.0,-169.0,1
1.6449324795558958e+18,-785.0,-11151.0,533.0,1
1.64493247957793e+18,-1477.0,-9997.0,418.0,1
1.644932479680528e+18,-1467.0,-9681.0,43.0,1
1.6449324797089042e+18,-1439.0,-9450.0,-333.0,1
1.6449324797559887e+18,-2007.0,-10077.0,-2851.0,1
1.644932479809426e+18,-1972.0,-9493.0,-2779.0,1
1.644932479853334e+18,-2695.0,-7769.0,-3461.0,1
1.6449324799062433e+18,-3568.0,-8179.0,-2724.0,1
1.6449324799553275e+18,-3529.0,-6951.0,-2849.0,1
1.6449324800205978e+18,-3566.0,-6637.0,-2669.0,1
1.644932480056001e+18,-3570.0,-6326.0,-2513.0,1
1.6449324801099604e+18,-2362.0,-5489.0,-227.0,1
1.6449324801562153e+18,1418.0,-6056.0,1575.0,1
1.6449324802094285e+18,1920.0,-5812.0,2559.0,1
1.6449324802530532e+18,1564.0,-7577.0,1489.0,1
1.644932480305082e+18,587.0,-8773.0,196.0,1
1.6449324803565699e+18,99.0,-9367.0,331.0,1
1.644932480407721e+18,-162.0,-9765.0,-2208.0,1
1.6449324804529027e+18,-1124.0,-10277.0,-943.0,1
1.644932480504623e+18,-2375.0,-8631.0,-1114.0,1
1.644932480556279e+18,-2191.0,-11296.0,-1019.0,1
1.644932480607722e+18,-1646.0,-7911.0,-310.0,1
1.6449324806561277e+18,-1699.0,-8704.0,-204.0,1
1.644932480707797e+18,-91.0,-9410.0,-1435.0,1
1.6449324807552804e+18,-998.0,-9066.0,-627.0,1
1.644932480807845e+18,-1605.0,-8286.0,-2088.0,1
1.6449324808826225e+18,-2001.0,-8750.0,-2096.0,1
1.6449324808826225e+18,-2001.0,-8750.0,-2096.0,1
1.644932480935842e+18,-2103.0,-8759.0,-2065.0,1
1.6449324810050204e+18,-2204.0,-8768.0,-2025.0,1
1.644932481052438e+18,-2382.0,-8851.0,-1993.0,1
1.6449324811067694e+18,-2623.0,-5764.0,-358.0,1
1.6449324811570972e+18,2834.0,-6243.0,2528.0,1
1.644932481203852e+18,1070.0,-7090.0,1943.0,1
1.644932481261249e+18,597.0,-7343.0,-171.0,1
1.6449324813115686e+18,-760.0,-11157.0,-1603.0,1
1.6449324813559634e+18,-700.0,-9545.0,-1649.0,1
1.6449324814070748e+18,-2152.0,-8867.0,-1424.0,1
1.644932481456921e+18,-1295.0,-9757.0,-2592.0,1
1.6449324815066872e+18,-547.0,-8794.0,-3576.0,1
