timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, BOLT_RIGHT
1.645022016765979e+18,1861.0,6508.0,4283.0,1
1.6450220168188234e+18,1352.0,7186.0,4152.0,1
1.645022016865151e+18,1096.0,7184.0,3347.0,1
1.645022016913844e+18,657.0,6780.0,3358.0,1
1.64502201696421e+18,385.0,7472.0,2726.0,1
1.6450220170172111e+18,133.0,7444.0,2325.0,1
1.6450220170675364e+18,-489.0,8218.0,1234.0,1
1.6450220171153556e+18,-926.0,9067.0,539.0,1
1.645022017165246e+18,-1059.0,8801.0,688.0,1
1.645022017215251e+18,-1071.0,8920.0,268.0,1
1.6450220172647237e+18,-820.0,9330.0,312.0,1
1.6450220173147407e+18,-614.0,8943.0,1061.0,1
1.6450220173647926e+18,-485.0,8181.0,952.0,1
1.645022017415679e+18,-597.0,8884.0,2150.0,1
1.6450220174650604e+18,-499.0,7695.0,3667.0,1
1.645022017517612e+18,-712.0,8111.0,4705.0,1
1.6450220175673736e+18,-416.0,5713.0,6995.0,1
1.645022017615221e+18,153.0,3861.0,6959.0,1
1.6450220176645394e+18,-228.0,2644.0,7514.0,1
1.6450220177148936e+18,-420.0,3072.0,6908.0,1
1.645022017763893e+18,-1039.0,2999.0,6793.0,1
1.6450220178172273e+18,-1763.0,3842.0,6386.0,1
1.6450220178655409e+18,-1894.0,3783.0,6255.0,1
1.6450220179157711e+18,-2369.0,4047.0,7405.0,1
1.645022017965479e+18,-1713.0,3452.0,8482.0,1
1.6450220180153943e+18,-1252.0,4409.0,8366.0,1
1.6450220180657085e+18,-930.0,4110.0,7296.0,1
1.645022018114922e+18,-515.0,5605.0,6466.0,1
1.6450220181646282e+18,-514.0,4844.0,6403.0,1
1.6450220182188572e+18,-789.0,6838.0,5271.0,1
1.645022018264168e+18,-1344.0,6993.0,5021.0,1
1.6450220183203167e+18,-567.0,7601.0,5046.0,1
1.6450220183645773e+18,-456.0,7862.0,4337.0,1
1.6450220184164163e+18,269.0,7271.0,3094.0,1
1.645022018469784e+18,274.0,8168.0,2213.0,1
1.645022018515852e+18,350.0,7941.0,2317.0,1
1.6450220185702963e+18,721.0,8179.0,1556.0,1
1.6450220186174405e+18,1031.0,8260.0,1576.0,1
1.6450220186707948e+18,1190.0,8053.0,1116.0,1
1.6450220187142561e+18,1257.0,8132.0,337.0,1
1.6450220187705277e+18,1681.0,6605.0,774.0,1
1.645022018815313e+18,1761.0,6620.0,297.0,1
1.6450220188691587e+18,735.0,9926.0,-779.0,1
1.645022018918709e+18,958.0,6849.0,1350.0,1
1.6450220189689408e+18,752.0,6753.0,664.0,1
1.6450220190187128e+18,374.0,11294.0,-176.0,1
1.6450220190685417e+18,537.0,11821.0,579.0,1
1.6450220191134216e+18,-34.0,7692.0,1299.0,1
1.645022019170182e+18,195.0,7778.0,8.0,1
1.645022019215118e+18,763.0,8130.0,1411.0,1
1.645022019269604e+18,1443.0,8872.0,474.0,1
1.6450220193104504e+18,1235.0,9332.0,-45.0,1
1.6450220193698957e+18,370.0,8596.0,-368.0,1
1.6450220194157478e+18,-109.0,7748.0,-1313.0,1
1.6450220194705498e+18,91.0,7570.0,319.0,1
1.645022021019818e+18,445.0,6978.0,4827.0,1
1.6450220210695744e+18,290.0,6674.0,5241.0,1
1.6450220211211791e+18,-231.0,6839.0,4825.0,1
1.6450220211710884e+18,-466.0,7006.0,5275.0,1
1.6450220212204406e+18,-327.0,7584.0,5353.0,1
1.6450220212696517e+18,312.0,7781.0,4785.0,1
1.6450220213209362e+18,1687.0,6915.0,4089.0,1
1.6450220213653018e+18,1694.0,8239.0,3903.0,1
1.6450220214231409e+18,2051.0,7341.0,3460.0,1
1.6450220214707617e+18,2159.0,7993.0,2732.0,1
1.6450220215203566e+18,1779.0,7170.0,2049.0,1
1.645022021568394e+18,1569.0,7876.0,2062.0,1
1.6450220216210703e+18,1962.0,8327.0,2763.0,1
1.645022021670727e+18,2328.0,7899.0,2780.0,1
