timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.6463906674675525e+18,-2291.0,496.0,-7022.0,frame_1173.jpeg
1.646390667515203e+18,-2115.0,422.0,-7579.0,frame_1174.jpeg
1.646390667565813e+18,-2115.0,585.0,-7125.0,frame_1175.jpeg
1.6463906676125652e+18,-4241.0,1609.0,-6886.0,frame_1176.jpeg
1.646390667668352e+18,-6083.0,2502.0,-6327.0,frame_1177.jpeg
1.6463906677146092e+18,-6108.0,2337.0,-6205.0,frame_1178.jpeg
1.6463906677701635e+18,-5487.0,2345.0,-6784.0,frame_1179.jpeg
1.6463906678169341e+18,-3721.0,1922.0,-7281.0,frame_1180.jpeg
1.6463906678700122e+18,-2944.0,1823.0,-7051.0,frame_1181.jpeg
1.6463906679169316e+18,-2233.0,1898.0,-7713.0,frame_1182.jpeg
1.646390667965999e+18,-2823.0,2122.0,-6934.0,frame_1183.jpeg
1.6463906680143828e+18,-2706.0,2233.0,-6856.0,frame_1184.jpeg
1.6463906680687468e+18,-3008.0,2475.0,-6813.0,frame_1185.jpeg
1.6463912021851768e+18,-728.0,4203.0,-5211.0,frame_11854.jpeg
1.6463912022343478e+18,-494.0,5195.0,-6774.0,frame_11855.jpeg
1.6463912022902564e+18,1474.0,5024.0,-6605.0,frame_11856.jpeg
1.6463912023386204e+18,2401.0,5907.0,-6797.0,frame_11857.jpeg
1.6463912023855862e+18,1164.0,7668.0,-7689.0,frame_11858.jpeg
1.64639120243914e+18,1571.0,6027.0,-5180.0,frame_11859.jpeg
1.646390668114459e+18,-3817.0,2861.0,-6776.0,frame_1186.jpeg
1.6463912024738406e+18,426.0,5622.0,-5127.0,frame_11860.jpeg
1.6463912025377403e+18,-298.0,4453.0,-4207.0,frame_11861.jpeg
1.6463912025869453e+18,1392.0,4556.0,-5674.0,frame_11862.jpeg
1.6463912026342758e+18,-788.0,5585.0,-5228.0,frame_11863.jpeg
1.646391202686337e+18,4833.0,5423.0,-6582.0,frame_11864.jpeg
1.646391202736276e+18,1406.0,6480.0,-6571.0,frame_11865.jpeg
1.6463912027881981e+18,200.0,5709.0,-5815.0,frame_11866.jpeg
1.6463912028380703e+18,1014.0,3953.0,-4865.0,frame_11867.jpeg
1.64639120288418e+18,76.0,4139.0,-6274.0,frame_11868.jpeg
1.6463912029401905e+18,3991.0,4128.0,-4255.0,frame_11869.jpeg
1.6463906681650066e+18,-3861.0,3169.0,-7195.0,frame_1187.jpeg
1.6463912029839124e+18,871.0,7474.0,-7295.0,frame_11870.jpeg
1.6463912030396867e+18,2435.0,5023.0,-5756.0,frame_11871.jpeg
1.6463912030855555e+18,2856.0,5683.0,-5934.0,frame_11872.jpeg
1.6463912031368238e+18,2309.0,5564.0,-7350.0,frame_11873.jpeg
1.646391203185989e+18,214.0,6176.0,-7338.0,frame_11874.jpeg
1.6463912032373466e+18,663.0,4212.0,-4938.0,frame_11875.jpeg
1.6463912032857277e+18,2226.0,4203.0,-5935.0,frame_11876.jpeg
1.646391203339349e+18,59.0,4086.0,-6448.0,frame_11877.jpeg
1.6463912033860657e+18,1544.0,4103.0,-6799.0,frame_11878.jpeg
1.6463912034373821e+18,1048.0,4799.0,-6099.0,frame_11879.jpeg
1.646390668214512e+18,-3910.0,3175.0,-7131.0,frame_1188.jpeg
1.646391203485502e+18,338.0,5685.0,-6140.0,frame_11880.jpeg
1.6463912035377546e+18,2109.0,5430.0,-5819.0,frame_11881.jpeg
1.6463912035855603e+18,1678.0,5407.0,-5342.0,frame_11882.jpeg
1.646391203636829e+18,706.0,6575.0,-5847.0,frame_11883.jpeg
1.6463912036853033e+18,1455.0,6674.0,-5982.0,frame_11884.jpeg
1.6463912037400868e+18,1725.0,5664.0,-6585.0,frame_11885.jpeg
1.6463912037864837e+18,1535.0,5643.0,-6207.0,frame_11886.jpeg
1.6463912038374067e+18,2240.0,4042.0,-4861.0,frame_11887.jpeg
1.6463912038883366e+18,1977.0,4812.0,-6122.0,frame_11888.jpeg
1.6463912039436045e+18,1604.0,4641.0,-6030.0,frame_11889.jpeg
1.6463906682655337e+18,-3575.0,3351.0,-7271.0,frame_1189.jpeg
1.646391203991254e+18,-41.0,5044.0,-5878.0,frame_11890.jpeg
1.6463912040342564e+18,1180.0,5744.0,-5792.0,frame_11891.jpeg
1.6463912040905805e+18,1507.0,7044.0,-7215.0,frame_11892.jpeg
1.6463912041385626e+18,1586.0,6369.0,-6475.0,frame_11893.jpeg
1.6463912041918597e+18,2163.0,3559.0,-4993.0,frame_11894.jpeg
1.6463912042374825e+18,2632.0,4097.0,-6096.0,frame_11895.jpeg
1.6463912042909908e+18,560.0,4467.0,-5110.0,frame_11896.jpeg
1.6463912043395835e+18,881.0,5844.0,-7010.0,frame_11897.jpeg
1.6463912043888916e+18,1547.0,6670.0,-6989.0,frame_11898.jpeg
1.646391204437675e+18,307.0,5995.0,-6372.0,frame_11899.jpeg
1.646390668314719e+18,-2873.0,2711.0,-7031.0,frame_1190.jpeg
1.6463912044916938e+18,3254.0,3205.0,-5686.0,frame_11900.jpeg
1.646391204539142e+18,2094.0,4323.0,-6695.0,frame_11901.jpeg
1.6463912045968174e+18,1198.0,4505.0,-5939.0,frame_11902.jpeg
1.6463912046381576e+18,2153.0,6018.0,-6246.0,frame_11903.jpeg
1.6463912046899553e+18,-412.0,6442.0,-6253.0,frame_11904.jpeg
1.6463912047363494e+18,3998.0,4063.0,-6257.0,frame_11905.jpeg
1.6463912047914506e+18,2538.0,3112.0,-4071.0,frame_11906.jpeg
