timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.64639418625524e+18,2909.0,-2677.0,-835.0,frame_6323.jpeg
1.6463941863044232e+18,2198.0,1644.0,-5889.0,frame_6324.jpeg
1.6463941863577477e+18,6889.0,-561.0,-5364.0,frame_6325.jpeg
1.6463941864082831e+18,7671.0,-4847.0,572.0,frame_6326.jpeg
1.6463941864541724e+18,2801.0,-5540.0,-591.0,frame_6327.jpeg
1.646394186508093e+18,4431.0,-4153.0,-4319.0,frame_6328.jpeg
1.6463941865591875e+18,4596.0,-3507.0,-5299.0,frame_6329.jpeg
1.6463939014164275e+18,6084.0,3002.0,2772.0,frame_633.jpeg
1.6463941866096148e+18,4915.0,-3073.0,-5169.0,frame_6330.jpeg
1.6463939014164275e+18,6084.0,3002.0,2772.0,frame_634.jpeg
1.646393901495414e+18,6203.0,2567.0,2369.0,frame_635.jpeg
1.646394188862092e+18,7247.0,-2103.0,985.0,frame_6375.jpeg
1.6463941889065075e+18,7409.0,-2354.0,1398.0,frame_6376.jpeg
1.646394188960111e+18,8962.0,-2034.0,1870.0,frame_6377.jpeg
1.646394189010331e+18,7275.0,-2530.0,1133.0,frame_6378.jpeg
1.6463941890545083e+18,6868.0,-2801.0,774.0,frame_6379.jpeg
1.646394189111176e+18,7641.0,-2415.0,1236.0,frame_6380.jpeg
1.6463941891604442e+18,7361.0,-2614.0,817.0,frame_6381.jpeg
1.6463941892111933e+18,7270.0,-2604.0,760.0,frame_6382.jpeg
1.6463941892616097e+18,7371.0,-2533.0,902.0,frame_6383.jpeg
1.6463941893120735e+18,7908.0,-2390.0,1323.0,frame_6384.jpeg
1.646394189360719e+18,9080.0,-2134.0,1489.0,frame_6385.jpeg
1.6463941894108936e+18,7338.0,-2451.0,658.0,frame_6386.jpeg
1.646394189464329e+18,7377.0,-2629.0,425.0,frame_6387.jpeg
1.6463941895122944e+18,6916.0,-2494.0,113.0,frame_6388.jpeg
1.6463941895615537e+18,7925.0,-2649.0,148.0,frame_6389.jpeg
1.6463941896142518e+18,8219.0,-2558.0,229.0,frame_6390.jpeg
1.6463941896610563e+18,7855.0,-2497.0,373.0,frame_6391.jpeg
1.6463941897152292e+18,7746.0,-2389.0,-326.0,frame_6392.jpeg
1.6463941897585677e+18,7476.0,-2364.0,-123.0,frame_6393.jpeg
1.64639418981505e+18,7132.0,-2454.0,-564.0,frame_6394.jpeg
1.6463941898563756e+18,7111.0,-2224.0,-408.0,frame_6395.jpeg
1.6463941899142582e+18,7124.0,-2092.0,155.0,frame_6396.jpeg
1.6463941899602563e+18,8816.0,-2037.0,284.0,frame_6397.jpeg
1.6463941900168576e+18,8580.0,-2117.0,504.0,frame_6398.jpeg
1.6463941900605734e+18,7123.0,-1886.0,-476.0,frame_6399.jpeg
1.646393872631027e+18,1286.0,7944.0,-1086.0,frame_64.jpeg
1.646394190111878e+18,8066.0,-1136.0,73.0,frame_6400.jpeg
1.6463941901616993e+18,8462.0,-1627.0,835.0,frame_6401.jpeg
1.6463941902137454e+18,6268.0,-1761.0,-839.0,frame_6402.jpeg
1.646394190258679e+18,7802.0,-525.0,-279.0,frame_6403.jpeg
1.646394190318429e+18,8853.0,1047.0,727.0,frame_6404.jpeg
1.6463941903614218e+18,8073.0,744.0,505.0,frame_6405.jpeg
1.646394190414009e+18,8579.0,1746.0,288.0,frame_6406.jpeg
1.646394190460857e+18,8683.0,1591.0,139.0,frame_6407.jpeg
1.6463941905150456e+18,8626.0,1111.0,-104.0,frame_6408.jpeg
1.6463941905601357e+18,7397.0,1285.0,-450.0,frame_6409.jpeg
1.6463941906140864e+18,6389.0,1102.0,-2282.0,frame_6410.jpeg
1.6463941906584428e+18,7738.0,1029.0,-2382.0,frame_6411.jpeg
1.6463941907132324e+18,8276.0,1679.0,-1443.0,frame_6412.jpeg
1.6463941907617623e+18,7529.0,1094.0,-2246.0,frame_6413.jpeg
1.6463941908150648e+18,7156.0,837.0,-2279.0,frame_6414.jpeg
1.646394190859559e+18,7230.0,1324.0,-2497.0,frame_6415.jpeg
1.6463941909131151e+18,7272.0,2010.0,-2169.0,frame_6416.jpeg
1.6463941909308063e+18,7186.0,1864.0,-2068.0,frame_6417.jpeg
1.6463941910161477e+18,7048.0,1540.0,-2090.0,frame_6418.jpeg
1.6463941910590776e+18,7252.0,1580.0,-1673.0,frame_6419.jpeg
1.646394191113482e+18,8271.0,1799.0,-1029.0,frame_6420.jpeg
1.6463941911593185e+18,7999.0,1465.0,-958.0,frame_6421.jpeg
1.6463941912150141e+18,8135.0,2108.0,-34.0,frame_6422.jpeg
1.6463941912663178e+18,8025.0,2203.0,215.0,frame_6423.jpeg
1.6463941913138693e+18,8239.0,2188.0,495.0,frame_6424.jpeg
1.646394191366388e+18,7748.0,1835.0,235.0,frame_6425.jpeg
1.6463941914143803e+18,8055.0,2097.0,381.0,frame_6426.jpeg
1.646394191465116e+18,7942.0,1886.0,405.0,frame_6427.jpeg
1.646394191512133e+18,7738.0,1669.0,237.0,frame_6428.jpeg
1.6463941915671652e+18,7921.0,1784.0,660.0,frame_6429.jpeg
1.646394191612523e+18,7978.0,1737.0,562.0,frame_6430.jpeg
1.6463941916668017e+18,7900.0,1690.0,385.0,frame_6431.jpeg
1.646394191714782e+18,8009.0,1898.0,246.0,frame_6432.jpeg
1.6463941917670408e+18,7549.0,1653.0,185.0,frame_6433.jpeg
1.6463941918136325e+18,7698.0,2144.0,414.0,frame_6434.jpeg
1.6463941918654016e+18,6845.0,1600.0,588.0,frame_6435.jpeg
1.6463941919135342e+18,8137.0,2490.0,1210.0,frame_6436.jpeg
