timestamp,a_right_backPose,b_right_backPose,c_right_backPose, DELIVERY_BIMANUAL
1.6461471408729027e+18,-6864.0,-974.0,5413.0,1
1.646147140921075e+18,-6472.0,234.0,5466.0,1
1.6461471409757169e+18,-5496.0,394.0,4946.0,1
1.6461471410247245e+18,-4469.0,-801.0,2503.0,1
1.6461471410703409e+18,-5205.0,-708.0,4812.0,1
1.646147141120692e+18,-6213.0,-528.0,6502.0,1
1.646147141171065e+18,-7163.0,228.0,5947.0,1
1.6461471412194365e+18,-6469.0,40.0,5678.0,1
1.646147141271624e+18,-5936.0,187.0,5983.0,1
1.6461471413262318e+18,-6341.0,272.0,6381.0,1
1.646147141375666e+18,-6066.0,505.0,6369.0,1
1.6461471414239114e+18,-6238.0,798.0,5960.0,1
1.6461471414723474e+18,-6159.0,605.0,5499.0,1
1.646147141520754e+18,-6282.0,67.0,5603.0,1
1.6461471415714463e+18,-6555.0,151.0,5265.0,1
1.6461471416243592e+18,-6910.0,24.0,5036.0,1
1.6461471416703764e+18,-6956.0,154.0,5192.0,1
1.6461471417262134e+18,-6972.0,284.0,5281.0,1
1.6461471417745705e+18,-8578.0,667.0,5371.0,1
1.646147141826504e+18,-11210.0,611.0,5030.0,1
1.6461471418741865e+18,-10053.0,-341.0,4122.0,1
1.6461471419216172e+18,-6125.0,-5304.0,72.0,1
1.6461471419742019e+18,-6020.0,-5899.0,-1512.0,1
1.6461471420276997e+18,-3989.0,-5233.0,-1927.0,1
1.6461471420728788e+18,-4747.0,-3644.0,-3572.0,1
1.6461471421286313e+18,-4731.0,-2577.0,-4733.0,1
1.6461471421726628e+18,-4662.0,-1746.0,-5678.0,1
1.6461471422218934e+18,-3477.0,-2081.0,-6031.0,1
1.6461471422719567e+18,-3048.0,-628.0,-7261.0,1
1.6461471423247496e+18,-1719.0,-969.0,-7612.0,1
1.6461471423733676e+18,-1098.0,-762.0,-7988.0,1
1.646147142424244e+18,0.0,-114.0,-8915.0,1
1.646147142469956e+18,-933.0,-83.0,-7836.0,1
1.6461471425631278e+18,-849.0,-181.0,-7521.0,1
1.6461471425631278e+18,-849.0,-181.0,-7521.0,1
1.6461471426581573e+18,-703.0,-211.0,-7444.0,1
1.6461471426581573e+18,-703.0,-211.0,-7444.0,1
1.6461471426581573e+18,-703.0,-211.0,-7444.0,1
1.6461471427915743e+18,-588.0,-239.0,-7364.0,1
1.646147142849243e+18,-582.0,-292.0,-7306.0,1
1.646147142849243e+18,-582.0,-292.0,-7306.0,1
1.6461471429247514e+18,-592.0,-403.0,-7259.0,1
1.6461471429734182e+18,-2653.0,1579.0,-7879.0,1
1.6461471430241375e+18,-2826.0,391.0,-7303.0,1
1.6461471430752384e+18,-2758.0,-523.0,-6383.0,1
1.6461471431245484e+18,-3011.0,-1599.0,-5113.0,1
1.6461471431793375e+18,-4968.0,-1589.0,-3816.0,1
1.6461471432270825e+18,-7513.0,-1603.0,-3861.0,1
1.646147143275116e+18,-7546.0,-2361.0,-3745.0,1
1.6461471433242386e+18,-8585.0,-2220.0,-3885.0,1
1.646147143376147e+18,-8417.0,-2199.0,-3939.0,1
1.6461471434222313e+18,-8430.0,-2054.0,-3890.0,1
1.6461471434754565e+18,-8154.0,-2085.0,-3607.0,1
1.646147143524564e+18,-7974.0,-1937.0,-3224.0,1
1.6461471435767406e+18,-7874.0,-1776.0,-2339.0,1
1.646147143624276e+18,-7609.0,-1842.0,-2061.0,1
1.6461471436774116e+18,-7402.0,-2077.0,-2093.0,1
1.6461471437262848e+18,-7752.0,-1889.0,-2273.0,1
1.646147143776409e+18,-7465.0,-2174.0,-2429.0,1
1.646147143830708e+18,-7504.0,-2235.0,-2314.0,1
1.6461471438780436e+18,-7976.0,-2190.0,-2115.0,1
1.646147143920766e+18,-7968.0,-2181.0,-2095.0,1
1.6461471439761562e+18,-7773.0,-2265.0,-2111.0,1
1.6461471440233523e+18,-7748.0,-2212.0,-2181.0,1
1.6461471440756833e+18,-7735.0,-2075.0,-2264.0,1
1.6461471441234465e+18,-7700.0,-2138.0,-2158.0,1
1.6461471441733637e+18,-7735.0,-2256.0,-2135.0,1
1.6461471442242616e+18,-7850.0,-2158.0,-2083.0,1
1.6461471442773537e+18,-7999.0,-2120.0,-2056.0,1
1.6461471443295342e+18,-7865.0,-2233.0,-1930.0,1
1.6461471443764616e+18,-7688.0,-2129.0,-1959.0,1
1.6461471444281802e+18,-7488.0,-2143.0,-1737.0,1
1.6461471444717888e+18,-7225.0,-2104.0,-1535.0,1
1.6461471445291863e+18,-6786.0,-1813.0,-1120.0,1
1.6461471445764104e+18,-6478.0,-1398.0,-216.0,1
1.646147144628546e+18,-6407.0,-484.0,1244.0,1
1.6461471446779566e+18,-6419.0,193.0,2537.0,1
1.6461471447288274e+18,-5650.0,714.0,3829.0,1
1.6461471447735025e+18,-5367.0,439.0,5154.0,1
1.646147144828472e+18,-5074.0,663.0,6150.0,1
1.6461471448711078e+18,-5668.0,1033.0,6439.0,1
1.646147144928338e+18,-6533.0,1421.0,6461.0,1
1.6461471449776927e+18,-7577.0,1597.0,5322.0,1
1.6461471450286656e+18,-7584.0,2589.0,6359.0,1
1.6461472202188698e+18,-6030.0,2274.0,-5978.0,1
1.6461472202704748e+18,-6567.0,2057.0,-6244.0,1
1.6461472203179154e+18,-6041.0,1226.0,-6432.0,1
1.6461472203675126e+18,-6599.0,802.0,-6041.0,1
1.646147220417494e+18,-6644.0,-159.0,-5602.0,1
1.6461472204703834e+18,-5918.0,-1290.0,-5342.0,1
1.646147220516221e+18,-6006.0,-1833.0,-5401.0,1
1.6461472205675267e+18,-5833.0,-2129.0,-5209.0,1
1.646147220619848e+18,-5347.0,-2264.0,-5343.0,1
1.6461472206704998e+18,-5207.0,-2091.0,-5114.0,1
1.6461472207304717e+18,-5396.0,-2124.0,-4876.0,1
1.6461472207681037e+18,-5527.0,-1933.0,-4955.0,1
1.646147220824557e+18,-5749.0,-2123.0,-5002.0,1
1.646147220869333e+18,-5698.0,-2303.0,-5180.0,1
1.6461472209239608e+18,-5996.0,-2238.0,-5457.0,1
1.6461472209682857e+18,-6213.0,-2000.0,-5581.0,1
1.6461472210212716e+18,-6266.0,-2049.0,-5510.0,1
1.6461472210699136e+18,-6351.0,-2054.0,-5364.0,1
1.646147221122208e+18,-6435.0,-2105.0,-5316.0,1
1.646147221172254e+18,-6358.0,-2095.0,-5108.0,1
1.6461472212230333e+18,-6242.0,-2025.0,-5015.0,1
1.646147221270256e+18,-6162.0,-1998.0,-5091.0,1
1.646147221324715e+18,-6297.0,-2000.0,-5060.0,1
1.6461472213704156e+18,-6171.0,-2060.0,-5040.0,1
1.6461472214206602e+18,-6425.0,-2236.0,-5121.0,1
1.6461472214711286e+18,-6473.0,-2381.0,-5173.0,1
1.646147221522871e+18,-6541.0,-2515.0,-5194.0,1
1.646147221570145e+18,-6621.0,-2411.0,-5407.0,1
1.646147221622822e+18,-6846.0,-2892.0,-5511.0,1
1.6461472216712215e+18,-6848.0,-3357.0,-4932.0,1
1.6461472217190185e+18,-6219.0,-4486.0,-2624.0,1
1.646147221774491e+18,-6111.0,-4352.0,-172.0,1
1.6461472218206467e+18,-7325.0,-2424.0,3301.0,1
1.646147221871185e+18,-7345.0,-1107.0,3017.0,1
1.6461472219256207e+18,-7425.0,-270.0,1173.0,1
1.6461472219714854e+18,-5964.0,-1109.0,1751.0,1
1.6461472220227343e+18,-5612.0,-1221.0,3413.0,1
1.646147222071635e+18,-6614.0,-533.0,4823.0,1
1.6461472221245765e+18,-6839.0,-323.0,6776.0,1
1.6461472221682097e+18,-6709.0,-951.0,7351.0,1
1.6461472222175839e+18,-6850.0,-1400.0,7801.0,1
1.646147222276713e+18,-7170.0,-888.0,6669.0,1
1.6461472223227382e+18,-7591.0,-31.0,6132.0,1
1.6461472223768707e+18,-6910.0,-421.0,5200.0,1
1.646147222420476e+18,-6383.0,-531.0,4575.0,1
1.646147222471193e+18,-6509.0,-772.0,3969.0,1
1.6461472225206769e+18,-6819.0,-252.0,4061.0,1
1.6461472225769485e+18,-9571.0,645.0,3586.0,1
1.6461472226208627e+18,-12483.0,829.0,2769.0,1
1.646147222683684e+18,-9465.0,1617.0,2149.0,1
1.6461472227246994e+18,-2112.0,-3766.0,-2114.0,1
1.6461472227754452e+18,-386.0,-4907.0,-4228.0,1
1.6461472228204006e+18,-1006.0,-5343.0,-5888.0,1
1.6461472228761943e+18,-2458.0,-4871.0,-6484.0,1
1.646147222922446e+18,-1983.0,-5284.0,-5966.0,1
1.6461472229761938e+18,-505.0,-5422.0,-5900.0,1
1.6461472230214397e+18,-185.0,-5128.0,-6392.0,1
1.646147223074438e+18,462.0,-5379.0,-6223.0,1
1.6461472231245824e+18,292.0,-5908.0,-5622.0,1
1.646147223174851e+18,117.0,-5756.0,-6255.0,1
1.6461472232232947e+18,738.0,-5964.0,-6149.0,1
1.6461472232774198e+18,741.0,-5731.0,-5631.0,1
1.6461472233152604e+18,340.0,-5896.0,-5483.0,1
1.6461472233706304e+18,1104.0,-5808.0,-4970.0,1
1.6461472234221074e+18,1420.0,-5779.0,-5553.0,1
1.6461472234755228e+18,1211.0,-6217.0,-5759.0,1
1.6461472235205284e+18,799.0,-5874.0,-6218.0,1
1.6461472235762967e+18,909.0,-5974.0,-6654.0,1
1.646147223621582e+18,1729.0,-6372.0,-5727.0,1
1.6461472236745203e+18,1229.0,-6217.0,-5741.0,1
1.6461472237202478e+18,1294.0,-4856.0,-6280.0,1
1.6461472237756677e+18,1373.0,-5494.0,-5636.0,1
1.64614722381918e+18,2323.0,-5919.0,-5967.0,1
1.6461472238755715e+18,4090.0,-4797.0,-5667.0,1
1.64614722392654e+18,4337.0,-3734.0,-5252.0,1
1.6461472239828877e+18,3697.0,-3554.0,-4686.0,1
1.6461472240274156e+18,31.0,-2806.0,-2296.0,1
1.6461472240751877e+18,-1570.0,-1394.0,-378.0,1
1.6461472241277258e+18,-5451.0,-306.0,2158.0,1
1.646147224177413e+18,-5244.0,241.0,3353.0,1
1.6461472242268485e+18,-9021.0,1328.0,3620.0,1
1.6461472242708654e+18,-10627.0,1535.0,3844.0,1
