timestamp,a_right_backPose,b_right_backPose,c_right_backPose, SCREW_RIGHT
1.646147636095225e+18,-852.0,3419.0,-7501.0,1
1.646147636138429e+18,-946.0,3387.0,-7402.0,1
1.646147636195244e+18,-845.0,3393.0,-7340.0,1
1.646147636240991e+18,-1021.0,3433.0,-7555.0,1
1.6461476362929436e+18,-1186.0,3566.0,-7504.0,1
1.6461476363416883e+18,-1006.0,3431.0,-7069.0,1
1.6461476363925363e+18,-861.0,3228.0,-6885.0,1
1.6461476364419305e+18,-949.0,3654.0,-8109.0,1
1.6461476364925432e+18,-720.0,3278.0,-8473.0,1
1.646147636542367e+18,-975.0,3153.0,-7417.0,1
1.6461476365935808e+18,-832.0,3083.0,-7237.0,1
1.6461476366383895e+18,-956.0,3274.0,-7371.0,1
1.6461476366920794e+18,-297.0,3286.0,-6979.0,1
1.6461476367399373e+18,32.0,3950.0,-6967.0,1
1.6461476367918922e+18,44.0,4308.0,-7888.0,1
1.6461476368407457e+18,471.0,5075.0,-6831.0,1
