timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_RIGHT
1.6449326468155366e+18,-3794.0,326.0,-2165.0,1
1.644932646845314e+18,-4398.0,2982.0,-2184.0,1
1.6449326469156145e+18,-7152.0,9556.0,890.0,1
1.6449326469658803e+18,-10052.0,7209.0,15.0,1
1.6449326470111416e+18,-7314.0,7071.0,1300.0,1
1.644932647067719e+18,-11847.0,8257.0,115.0,1
1.6449326471123082e+18,-13648.0,4909.0,42.0,1
1.6449326471662216e+18,-10382.0,2709.0,1106.0,1
1.64493264721636e+18,-10249.0,2221.0,1615.0,1
1.6449326472681723e+18,-7479.0,2007.0,1162.0,1
1.6449326473113695e+18,-5475.0,1853.0,129.0,1
1.644932647371588e+18,-3082.0,2124.0,-462.0,1
1.644932647414189e+18,-7441.0,3751.0,437.0,1
1.6449326474666982e+18,-3013.0,3619.0,-581.0,1
1.6449326475139594e+18,-6803.0,2254.0,-1338.0,1
1.6449326475683825e+18,-5680.0,1532.0,-3103.0,1
1.6449326476148357e+18,-4469.0,2035.0,-3342.0,1
1.6449326476643244e+18,-7813.0,5371.0,-3416.0,1
1.644932647694079e+18,-11124.0,6647.0,-4144.0,1
1.6449326477655176e+18,-8930.0,2962.0,-5100.0,1
1.644932647815506e+18,-10341.0,3125.0,-2307.0,1
1.6449326478684132e+18,-6978.0,-943.0,-4369.0,1
1.6449326479366124e+18,-6782.0,-1452.0,-4259.0,1
1.644932647995673e+18,-6826.0,-969.0,-4204.0,1
1.6449326480307645e+18,-6683.0,-347.0,-4137.0,1
1.644932648065774e+18,-10385.0,3471.0,-788.0,1
1.64493264811691e+18,-8776.0,1852.0,-262.0,1
1.6449326481652273e+18,-6157.0,624.0,101.0,1
1.6449326482134083e+18,-4599.0,1913.0,212.0,1
1.6449326482647734e+18,-3241.0,1523.0,-962.0,1
1.6449326483130176e+18,-6160.0,1125.0,-1486.0,1
1.644932648362481e+18,-6860.0,-1717.0,-3088.0,1
1.6449326484188467e+18,-6990.0,-2924.0,-4725.0,1
1.6449326484647045e+18,-9614.0,-2595.0,-4816.0,1
1.644932648519582e+18,-5958.0,-1207.0,-3086.0,1
1.6449326485652365e+18,-4880.0,2472.0,-1277.0,1
1.6449326486177828e+18,-6415.0,1270.0,-4043.0,1
1.6449326486695885e+18,-8020.0,824.0,-5769.0,1
1.644932648717349e+18,-6888.0,1114.0,-4355.0,1
1.64493264876271e+18,-11790.0,3455.0,-2084.0,1
1.6449326488186616e+18,-7267.0,2744.0,-3005.0,1
1.6449326488989187e+18,-8820.0,3850.0,-2444.0,1
1.6449326489356214e+18,-9965.0,4289.0,-2205.0,1
1.6449326489666895e+18,-9748.0,-1025.0,-3082.0,1
1.644932649019507e+18,-6700.0,-1255.0,-873.0,1
1.6449326490679575e+18,-2347.0,-1464.0,-1078.0,1
1.6449326491184056e+18,-5351.0,1193.0,-1469.0,1
1.6449326491655188e+18,-8169.0,-1450.0,-3259.0,1
1.644932649216149e+18,-7305.0,-4724.0,-3940.0,1
1.6449326492613402e+18,-5780.0,-4397.0,-3339.0,1
1.6449326493214449e+18,-4050.0,-4356.0,-7375.0,1
1.6449326493671557e+18,-4678.0,-2749.0,-3542.0,1
1.644932649416585e+18,-6414.0,294.0,-1381.0,1
1.6449326494684908e+18,-5590.0,519.0,-2392.0,1
1.644932649518845e+18,-6754.0,459.0,-2848.0,1
1.6449326495748255e+18,-7319.0,2039.0,-2846.0,1
1.644932649619722e+18,-7936.0,1361.0,-3740.0,1
1.6449326496668513e+18,-8249.0,1678.0,-4275.0,1
1.644932649703974e+18,-9747.0,3124.0,-2481.0,1
1.644932649743531e+18,-9849.0,3313.0,-2392.0,1
1.6449326498147528e+18,-9974.0,3698.0,-2682.0,1
1.6449326498689674e+18,-9641.0,3332.0,-2665.0,1
1.644932649915212e+18,-9641.0,-3446.0,-2953.0,1
1.644932649968078e+18,-8949.0,-376.0,810.0,1
1.6449326500184563e+18,-4983.0,-106.0,71.0,1
1.6449326500688899e+18,-6216.0,1002.0,220.0,1
1.64493265011348e+18,-4825.0,-380.0,-607.0,1
1.6449326501668526e+18,-4882.0,-412.0,-643.0,1
1.644932650228809e+18,-5685.0,-511.0,-645.0,1
1.6449326502709053e+18,-5763.0,-4508.0,-4458.0,1
1.644932650319741e+18,-5189.0,-3824.0,-2986.0,1
