timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_LEFT
1.6450220495004513e+18,-4886.0,736.0,-6677.0,1
1.645022049556941e+18,-5023.0,708.0,-6567.0,1
1.6450220496024476e+18,-4987.0,746.0,-6787.0,1
1.6450220496549773e+18,-5047.0,749.0,-6462.0,1
1.6450220497049336e+18,-4924.0,823.0,-6554.0,1
1.6450220497598664e+18,-5196.0,814.0,-6376.0,1
1.6450220498057464e+18,-5052.0,798.0,-6420.0,1
1.6450220498554383e+18,-4845.0,693.0,-6881.0,1
1.645022049908496e+18,-4887.0,594.0,-6680.0,1
1.6450220499561457e+18,-5101.0,668.0,-6512.0,1
1.6450220500070958e+18,-5032.0,753.0,-6566.0,1
1.6450220500563768e+18,-4873.0,843.0,-6558.0,1
1.645022050107087e+18,-5158.0,860.0,-6516.0,1
1.645022050156e+18,-5081.0,749.0,-6554.0,1
1.6450220502079747e+18,-5101.0,800.0,-6442.0,1
1.6450220502567706e+18,-5169.0,828.0,-6500.0,1
1.6450220503081467e+18,-4617.0,854.0,-6855.0,1
1.6450220503592264e+18,-5012.0,751.0,-6586.0,1
1.64502205040719e+18,-5149.0,895.0,-6521.0,1
1.6450220504580557e+18,-5202.0,805.0,-6438.0,1
1.645022050509354e+18,-4704.0,979.0,-6390.0,1
1.6450220505577262e+18,-5242.0,1019.0,-6506.0,1
1.6450220506080525e+18,-4867.0,639.0,-6626.0,1
1.6450220506549391e+18,-4992.0,684.0,-6663.0,1
1.6450220507080927e+18,-5023.0,953.0,-6639.0,1
1.6450220527099098e+18,-5544.0,1682.0,-5914.0,1
1.645022052761368e+18,-5636.0,1642.0,-5876.0,1
1.6450220528091656e+18,-5569.0,1694.0,-5886.0,1
1.6450220528612319e+18,-5599.0,1628.0,-5892.0,1
1.6450220529061888e+18,-5621.0,1613.0,-5920.0,1
1.6450220529624899e+18,-5632.0,1607.0,-5883.0,1
1.6450220530138478e+18,-5578.0,1618.0,-5889.0,1
1.645022053060334e+18,-5568.0,1565.0,-5944.0,1
1.6450220531118126e+18,-5603.0,1543.0,-5894.0,1
1.6450220531616115e+18,-5624.0,1533.0,-5940.0,1
1.6450220532140575e+18,-5534.0,1505.0,-5915.0,1
1.6450220532577513e+18,-5559.0,1459.0,-5948.0,1
1.6450220533119278e+18,-5588.0,1421.0,-5967.0,1
1.6450220533613012e+18,-5589.0,1297.0,-5959.0,1
1.6450220534138916e+18,-5551.0,1260.0,-6110.0,1
1.6450220534580017e+18,-5640.0,1199.0,-5956.0,1
1.6450220535119e+18,-5562.0,1280.0,-6084.0,1
1.6450220535524588e+18,-5672.0,1250.0,-6083.0,1
1.6450220536172385e+18,-5611.0,1200.0,-5993.0,1
1.645022053657617e+18,-5623.0,1250.0,-6002.0,1
1.645022053711934e+18,-5698.0,1298.0,-5906.0,1
1.6450220537589335e+18,-5675.0,1285.0,-5796.0,1
1.6450220538141217e+18,-5702.0,1279.0,-5932.0,1
1.6450220538630336e+18,-5702.0,1272.0,-5880.0,1
1.6450220539127854e+18,-5782.0,1275.0,-5749.0,1
1.6450220539574917e+18,-5710.0,1269.0,-5840.0,1
1.6450220540121667e+18,-5755.0,1259.0,-5936.0,1
1.6450220540586112e+18,-5766.0,1341.0,-5832.0,1
1.6450220541127117e+18,-5839.0,1314.0,-5822.0,1
1.6450220541623196e+18,-5636.0,1261.0,-5839.0,1
1.6450220542082783e+18,-5884.0,1526.0,-5594.0,1
1.6450220542586988e+18,-5832.0,1674.0,-5572.0,1
1.6450220543093432e+18,-5730.0,1418.0,-5819.0,1
1.645022054358327e+18,-5758.0,1451.0,-5821.0,1
1.645022054413419e+18,-5858.0,1363.0,-5780.0,1
1.645022054459049e+18,-5512.0,1554.0,-5976.0,1
1.6450220545221624e+18,-5965.0,1356.0,-5635.0,1
1.6450220545594583e+18,-5834.0,1468.0,-5567.0,1
1.6450220546132024e+18,-5910.0,1355.0,-5763.0,1
1.6450220546603238e+18,-5615.0,1416.0,-6099.0,1
1.645022054711955e+18,-6054.0,1331.0,-5419.0,1
1.6450220547680453e+18,-5870.0,1389.0,-5682.0,1
1.64502205481302e+18,-5595.0,1388.0,-6015.0,1
1.6450220548631232e+18,-5659.0,1501.0,-5862.0,1
1.6450220549122793e+18,-5938.0,1433.0,-5608.0,1
1.6450220549616945e+18,-5849.0,1282.0,-5645.0,1
1.6450220550114511e+18,-5767.0,1410.0,-5841.0,1
1.6450220550660035e+18,-5599.0,1246.0,-5904.0,1
1.6450220551121976e+18,-5912.0,1181.0,-5863.0,1
1.6450220551668434e+18,-5764.0,1292.0,-5742.0,1
1.6450220552127534e+18,-5785.0,1217.0,-5796.0,1
1.6450220552621555e+18,-5797.0,1176.0,-5934.0,1
1.6450220553129341e+18,-5762.0,1141.0,-5789.0,1
1.6450220553623841e+18,-5694.0,1161.0,-5939.0,1
1.6450220554116357e+18,-5731.0,1145.0,-5852.0,1
1.6450220554657124e+18,-5795.0,1138.0,-5835.0,1
1.645022055514915e+18,-5773.0,1143.0,-5878.0,1
1.6450220555628818e+18,-5689.0,1195.0,-5849.0,1
1.6450220556128556e+18,-5780.0,1100.0,-5870.0,1
1.6450220556624205e+18,-5728.0,1034.0,-5915.0,1
1.6450220557142042e+18,-5658.0,1105.0,-5890.0,1
1.645022055766492e+18,-5781.0,1053.0,-5906.0,1
1.645022055811583e+18,-5708.0,961.0,-5844.0,1
1.6450220558619996e+18,-5677.0,885.0,-5982.0,1
1.6450220559124063e+18,-5675.0,926.0,-6054.0,1
1.6450220559623693e+18,-5742.0,962.0,-5856.0,1
1.6450220560125373e+18,-5762.0,808.0,-5973.0,1
1.645022056065992e+18,-5819.0,823.0,-5905.0,1
1.6450220561136855e+18,-5622.0,1024.0,-5866.0,1
1.6450220561668006e+18,-5627.0,773.0,-5966.0,1
1.645022056217528e+18,-5705.0,638.0,-6168.0,1
1.6450220562624712e+18,-5729.0,803.0,-5964.0,1
1.6450220563184655e+18,-5734.0,798.0,-5993.0,1
1.6450220563649203e+18,-5651.0,775.0,-6022.0,1
1.6450220564143158e+18,-5688.0,749.0,-5991.0,1
1.6450220564659937e+18,-5702.0,894.0,-5985.0,1
1.645022056513774e+18,-5722.0,926.0,-5822.0,1
1.645022056563193e+18,-5648.0,787.0,-5984.0,1
