timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, ASSEMBLY2_BIMANUAL
1.6450230614857032e+18,-3317.0,4587.0,5824.0,1
1.645023061541818e+18,-3319.0,4409.0,5806.0,1
1.6450230615876365e+18,-3305.0,4392.0,5888.0,1
1.6450230616424256e+18,-3215.0,4390.0,5827.0,1
1.645023061688713e+18,-3122.0,4432.0,5919.0,1
1.6450230617422052e+18,-3057.0,4617.0,6024.0,1
1.645023061788104e+18,-3108.0,4644.0,6227.0,1
1.6450230618418545e+18,-3092.0,4751.0,6304.0,1
1.6450230618885568e+18,-3052.0,4794.0,6236.0,1
1.645023061942475e+18,-2900.0,4953.0,6006.0,1
1.6450230619892398e+18,-2787.0,5051.0,5970.0,1
1.6450230620394117e+18,-2654.0,5451.0,6074.0,1
1.6450230620921958e+18,-2588.0,5767.0,5961.0,1
1.6450230621383457e+18,-2556.0,5813.0,5789.0,1
1.6450230621883973e+18,-2568.0,5699.0,5692.0,1
1.6450230622414113e+18,-2381.0,5342.0,5110.0,1
1.6450230622872722e+18,-2286.0,4626.0,5190.0,1
1.6450230623415194e+18,-2199.0,4410.0,4823.0,1
1.645023062391702e+18,-2251.0,5670.0,5456.0,1
1.6450230624413755e+18,-1734.0,7711.0,4275.0,1
1.6450230624880515e+18,-1582.0,6887.0,4529.0,1
1.645023062543084e+18,-1127.0,6722.0,4252.0,1
1.6450230625875835e+18,-1093.0,6122.0,4674.0,1
1.6450230626424543e+18,-1510.0,6221.0,4638.0,1
1.6450230626916017e+18,-1770.0,6993.0,4440.0,1
1.6450230627422523e+18,-2229.0,6723.0,4118.0,1
1.6450230627923446e+18,-2819.0,6486.0,4336.0,1
1.6450230628415137e+18,-3238.0,5854.0,4589.0,1
1.6450230628935596e+18,-3640.0,5272.0,4650.0,1
1.6450230629421038e+18,-4051.0,5005.0,4793.0,1
1.6450230629914153e+18,-4142.0,4899.0,5363.0,1
1.645023063042387e+18,-4000.0,4871.0,5586.0,1
1.6450230630914944e+18,-3928.0,4949.0,5557.0,1
1.6450230631420705e+18,-3982.0,4970.0,5419.0,1
1.6450230631921551e+18,-4023.0,5009.0,5453.0,1
1.6450230632423035e+18,-3861.0,5170.0,5237.0,1
1.645023063291854e+18,-3940.0,5275.0,5117.0,1
1.645023063343181e+18,-3782.0,5115.0,4977.0,1
1.6450230633927334e+18,-3681.0,5212.0,5053.0,1
1.6450230634407127e+18,-3625.0,5172.0,5007.0,1
1.645023063496424e+18,-3919.0,5118.0,5373.0,1
1.645023063542112e+18,-3912.0,4980.0,5454.0,1
1.6450230635915282e+18,-3732.0,4648.0,5488.0,1
1.6450230636393375e+18,-3565.0,4721.0,5256.0,1
1.6450230636913326e+18,-3516.0,5026.0,5254.0,1
1.645023063743021e+18,-3370.0,5475.0,5056.0,1
1.6450230637923917e+18,-3265.0,5301.0,5133.0,1
1.6450230638432146e+18,-3766.0,4590.0,5530.0,1
1.6450230638926157e+18,-3859.0,4678.0,5966.0,1
1.6450230639391657e+18,-3737.0,4086.0,5773.0,1
1.6450230639906153e+18,-3681.0,4050.0,5715.0,1
1.6450230640391916e+18,-3869.0,2799.0,5653.0,1
1.6450230640921393e+18,-3230.0,4792.0,6295.0,1
1.6450230641396867e+18,-3662.0,3567.0,6959.0,1
1.645023064191457e+18,-3976.0,3132.0,6337.0,1
1.6450230642443062e+18,-4193.0,3582.0,6177.0,1
1.6450230642915039e+18,-3891.0,3416.0,5965.0,1
1.6450230643445962e+18,-3749.0,3557.0,6028.0,1
1.6450230643914499e+18,-3808.0,3341.0,6243.0,1
1.6450230644438743e+18,-3773.0,3708.0,6298.0,1
1.6450230644907825e+18,-3881.0,4052.0,6399.0,1
1.6450230645457316e+18,-3868.0,3624.0,6124.0,1
1.6450230645925164e+18,-3844.0,3788.0,5722.0,1
1.6450230646443005e+18,-3890.0,4070.0,5825.0,1
1.6450230646923323e+18,-3806.0,4026.0,5769.0,1
1.6450230647451863e+18,-3693.0,4409.0,5604.0,1
1.64502306479249e+18,-4042.0,3675.0,5654.0,1
1.645023064842424e+18,-4321.0,4347.0,5687.0,1
1.6450230648924114e+18,-4470.0,4117.0,5710.0,1
1.6450230649467336e+18,-4370.0,4073.0,5463.0,1
1.645023064993165e+18,-4166.0,4019.0,5254.0,1
1.6450230650473336e+18,-4271.0,4141.0,5114.0,1
1.645023065093113e+18,-4524.0,4416.0,5151.0,1
